date,capesize_1y_avg,panamax_1y_avg,supramax_1y_avg,handysize_1y_avg,vlcc_1y,suezmax_1y,aframax_1y
1970-01-01,,4271.0,,,,,
1970-02-01,,5257.0,,,,,
1970-03-01,,5339.0,,,,,
1970-04-01,,6242.0,,,,,
1970-05-01,,6982.0,,,,,
1970-06-01,,6899.0,,,,,
1970-07-01,,7146.0,,,,,
1970-08-01,,8624.0,,,,,
1970-09-01,,7310.0,,,,,
1970-10-01,,7064.0,,,,,
1970-11-01,,6735.0,,,,,
1970-12-01,,6325.0,,,,,
1971-01-01,,5782.0,,,,,
1971-02-01,,5010.0,,,,,
1971-03-01,,5010.0,,,,,
1971-04-01,,4271.0,,,,,
1971-05-01,,4107.0,,,,,
1971-06-01,,2711.0,,,,,
1971-07-01,,2218.0,,,,,
1971-08-01,,2464.0,,,,,
1971-09-01,,2464.0,,,,,
1971-10-01,,2464.0,,,,,
1971-11-01,,2628.0,,,,,
1971-12-01,,2546.0,,,,,
1972-01-01,,3285.0,,,,,
1972-02-01,,2546.0,,,,,
1972-03-01,,2793.0,,,,,
1972-04-01,,2628.0,,,,,
1972-05-01,,2464.0,,,,,
1972-06-01,,2464.0,,,,,
1972-07-01,,3203.0,,,,,
1972-08-01,,3121.0,,,,,
1972-09-01,,3696.0,,,,,
1972-10-01,,4928.0,,,,,
1972-11-01,,4435.0,,,,,
1972-12-01,,5175.0,,,,,
1973-01-01,,5585.0,,,,,
1973-02-01,,5585.0,,,,,
1973-03-01,,6407.0,,,,,
1973-04-01,,6735.0,,,,,
1973-05-01,,6899.0,,,,,
1973-06-01,,7392.0,,,,,
1973-07-01,,7557.0,,,,,
1973-08-01,,8542.0,,,,,
1973-09-01,,9199.0,,,,,
1973-10-01,,10267.0,,,,,
1973-11-01,,9364.0,,,,,
1973-12-01,,9856.0,,,,,
1974-01-01,,8871.0,,,,,
1974-02-01,,8132.0,,,,,
1974-03-01,,9281.0,,,,,
1974-04-01,,9035.0,,,,,
1974-05-01,,8542.0,,,,,
1974-06-01,,8789.0,,,,,
1974-07-01,,7967.0,,,,,
1974-08-01,,7064.0,,,,,
1974-09-01,,6982.0,,,,,
1974-10-01,,7803.0,,,,,
1974-11-01,,8378.0,,,,,
1974-12-01,,8049.0,,,,,
1975-01-01,,6571.0,,,,,
1975-02-01,,5750.0,,,,,
1975-03-01,,5175.0,,,,,
1975-04-01,,3696.0,,,,,
1975-05-01,,3368.0,,,,,
1975-06-01,,3368.0,,,,,
1975-07-01,,3285.0,,,,,
1975-08-01,,3039.0,,,,,
1975-09-01,,3285.0,,,,,
1975-10-01,,3532.0,,,,,
1975-11-01,,3614.0,,,,,
1975-12-01,,3614.0,,,,,
1976-01-01,,2957.0,,,,,
1976-02-01,,2628.0,,,,,
1976-03-01,,3121.0,,,,,
1976-04-01,,3943.0,,,,,
1976-05-01,,4600.0,,,,,
1976-06-01,,4928.0,,,,,
1976-07-01,,4600.0,,,,,
1976-08-01,,4600.0,,,,,
1976-09-01,,4682.0,,,,,
1976-10-01,,4764.0,,,,,
1976-11-01,,4600.0,,,,,
1976-12-01,,4271.0,,,,,
1977-01-26,5550.0,4550.0,,,,,
1977-02-23,5150.0,4200.0,,,,,
1977-03-30,4750.0,4000.0,,,,,
1977-04-27,4550.0,3900.0,,,,,
1977-05-25,4850.0,3700.0,,,,,
1977-06-29,4350.0,3700.0,,,,,
1977-07-27,3550.0,3350.0,,,,,
1977-08-31,3150.0,2950.0,,,,,
1977-09-28,2950.0,2950.0,,,,,
1977-10-26,3550.0,3150.0,,,,,
1977-11-30,3750.0,3250.0,,,,,
1977-12-28,3750.0,3450.0,,,,,
1978-01-25,3550.0,3350.0,,,,,
1978-02-22,3550.0,3450.0,,,,,
1978-03-29,3950.0,3550.0,,,,,
1978-04-26,4150.0,3900.0,,,,,
1978-05-31,4350.0,4350.0,,,,,
1978-06-28,4350.0,4550.0,,,,,
1978-07-26,4350.0,4200.0,,,,,
1978-08-30,4550.0,4550.0,,,,,
1978-09-27,5150.0,5100.0,,,,,
1978-10-25,5920.0,5450.0,,,,,
1978-11-29,6500.0,5750.0,,,,,
1978-12-27,6300.0,5650.0,,,,,
1979-01-31,7100.0,5665.0,,,,,
1979-02-28,7300.0,6050.0,,,,,
1979-03-28,8300.0,6650.0,,,,,
1979-04-25,8700.0,7400.0,,,,,
1979-05-30,10650.0,8550.0,,,,,
1979-06-27,13815.0,10600.0,,,,,
1979-07-25,15800.0,11150.0,,,,,
1979-08-29,15400.0,10950.0,,,,,
1979-09-26,15600.0,10950.0,,,,,
1979-10-31,15800.0,11150.0,,,,,
1979-11-28,16600.0,11500.0,,,,,
1979-12-26,15800.0,11150.0,,,,,
1980-01-30,15800.0,11350.0,,,,,
1980-02-27,16400.0,11850.0,,,,,
1980-03-26,17350.0,12550.0,,,,,
1980-04-30,17750.0,13250.0,,,,,
1980-05-28,17750.0,13050.0,,,,,
1980-06-25,17350.0,13050.0,,,,,
1980-07-30,16400.0,12350.0,,,,,
1980-08-27,16200.0,12050.0,,,,,
1980-09-24,16200.0,12050.0,,,,,
1980-10-29,16200.0,12050.0,,,,,
1980-11-26,16800.0,12850.0,,,,,
1980-12-31,17750.0,14350.0,,,,,
1981-01-28,16800.0,14000.0,,,,,
1981-02-25,16800.0,14250.0,,,,,
1981-03-25,15800.0,14350.0,,,,,
1981-04-29,14800.0,12850.0,,,,,
1981-05-27,12850.0,12350.0,,,,,
1981-06-24,11850.0,12850.0,,,,,
1981-07-29,11850.0,11850.0,,,,,
1981-08-26,10850.0,11350.0,,,,,
1981-09-30,9850.0,9800.0,,,,,
1981-10-28,8900.0,8900.0,,,,,
1981-11-25,7700.0,8400.0,,,,,
1981-12-30,7300.0,7900.0,,,,,
1982-01-27,4950.0,7100.0,,,,,
1982-02-24,4950.0,6450.0,,,,,
1982-03-31,5900.0,6450.0,,,,,
1982-04-28,5900.0,6100.0,,,,,
1982-05-26,5550.0,6450.0,,,,,
1982-06-30,4950.0,5450.0,,,,,
