date,cfr_62,cfr_65,port_stock_62,port_stock_65,inventories_mt,steel_production_mt,steel_inventories_mt
2018-07-03,64.09,,,,158.0,370.0,4.72
2018-07-17,63.42,,,,156.0,451.0,4.4
2018-07-19,63.91,,,,,,
2018-07-31,64.35,,,,156.0,451.0,4.1
2018-08-11,64.35,,,,154.0,451.0,4.1
2018-08-28,67.15,,,,151.0,533.0,4.1
2018-09-11,67.78,,,,150.0,533.0,4.2
2018-09-25,68.51,,,,149.0,617.0,4.1
2018-10-09,69.8,,,,146.0,617.0,4.1
2018-10-23,72.34,,,,144.0,699.0,4.2
2018-11-06,74.1,,,,142.0,699.0,3.6
2018-11-20,74.41,,,,141.0,782.0,3.1
2018-12-04,66.82,,,,138.0,782.0,2.9
2018-12-18,68.68,,,,137.0,857.0,2.8
2019-01-08,74.55,89.21,,,137.0,857.0,2.8
2019-01-22,74.58,88.73,,,141.0,928.0,3.7
2019-02-19,88.5,101.38,,,144.0,928.0,7.4
2019-03-05,86.4,99.02,,,146.0,928.0,9.1
2019-03-19,86.34,98.78,,,148.0,150.0,8.7
2019-04-02,89.53,102.44,,,148.0,150.0,8.1
2019-04-16,93.79,107.85,,,144.0,150.0,7.2
2019-04-30,93.24,106.82,,,144.0,150.0,7.2
2019-05-14,93.48,109.33,,,133.0,231.0,5.7
2019-05-28,99.41,115.6,,,128.0,315.0,5.2
2019-06-11,103.78,120.87,,,122.0,315.0,5.0
2019-06-25,108.73,123.08,,,117.0,405.0,5.3
2019-07-09,121.29,130.16,,,116.0,405.0,5.4
2019-07-23,119.73,127.63,,,118.0,492.0,5.6
2019-08-06,98.2,108.93,,,121.0,492.0,6.0
2019-08-20,92.46,102.05,,,123.0,577.0,6.0
2019-09-03,89.28,97.8,,,125.0,577.0,5.8
2019-09-17,94.57,102.68,,,125.0,665.0,5.2
2019-10-01,92.24,100.61,,,126.0,665.0,4.8
2019-10-15,92.19,99.21,,,130.0,665.0,4.9
2019-10-29,89.64,96.7,,,134.0,748.0,4.1
2019-11-12,81.09,91.97,,,132.0,748.0,3.5
2019-11-26,85.03,96.9,,,130.0,829.0,2.9
2019-12-10,92.06,104.31,,,130.0,829.0,2.9
2019-12-24,91.58,102.95,,,129.0,904.0,3.0
2020-01-07,93.7,106.68,,,130.0,904.0,3.1
2020-01-21,94.98,108.7,,,127.0,996.0,4.5
2020-02-04,81.73,97.8,,,127.0,996.0,4.5
2020-02-18,86.48,102.37,,,131.0,996.0,9.2
2020-03-03,87.3,102.15,,,127.0,996.0,11.5
2020-03-17,90.05,104.88,,,126.0,996.0,13.0
2020-03-31,88.02,103.75,,,121.0,155.0,12.4
2020-04-14,84.89,100.27,,,119.0,155.0,11.2
2020-04-28,83.56,100.0,,,118.0,234.0,10.4
