date,vlcc_1y_tc,vlcc_3y_tc,suezmax_1y_tc,suezmax_3y_tc,aframax_1y_tc,aframax_3y_tc,lr1_1y_tc,lr1_3y_tc,mr_1y_tc,mr_3y_tc,handy_tanker_1y_tc,handy_tanker_3y_tc,capesize_1y_tc,capesize_3y_tc,panamax_1y_tc,panamax_3y_tc,supramax_1y_tc,supramax_3y_tc,handysize_1y_tc,handysize_3y_tc,source
2026-05-22,116750,70750,66500,46000,61000,41500,37500,30000,31500,23500,27500,17500,36500,25750,18000,14000,17000,14000,12000,11000,intermodal
2026-06-05,116750,71500,66500,46000,55000,40000,37500,30000,29000,21500,25500,17500,37000,25500,17500,13500,17000,14000,12000,11000,intermodal
2026-06-12,117750,71500,65000,46000,55000,40000,37500,30000,29000,21500,25500,17500,36500,25250,17750,13750,17000,14000,12000,11000,intermodal
2026-06-19,117750,77500,71000,46000,52500,38750,35500,30000,28500,23500,24000,17500,36000,25000,17000,13750,17000,14000,12000,11000,intermodal
2026-07-03,117500,74000,71500,46500,55000,38750,35500,29750,26500,23500,22500,17750,37750,26500,17750,14000,17500,14000,13500,12000,intermodal
2026-07-10,118500,74000,75000,46500,53000,38750,35500,29750,27500,23500,22500,17750,38750,27250,17750,14000,17500,14000,13500,12000,intermodal
2026-07-17,118500,74000,74000,46500,53000,38750,35500,29750,27500,23500,22500,17750,37250,26750,17750,14000,17500,14000,13500,12000,intermodal
2026-07-24,118500,73500,74000,46500,53000,38750,35250,29750,27250,23500,22500,17750,38250,27250,17250,14000,17500,14000,13500,12000,intermodal
2026-07-31,118500,73500,75000,46500,59000,38750,35250,29750,29000,23500,22500,17750,38750,27500,17250,14000,17500,14000,13500,12000,intermodal
2026-08-14,117500,73500,75500,46500,59250,40250,35250,29750,29000,23500,22500,17750,40250,28250,18000,15000,17500,14000,13500,12000,intermodal
2026-08-21,119000,72500,78500,46500,57500,40500,34500,29750,29000,23500,22500,17750,41500,29750,18750,15000,17500,14000,13500,12000,intermodal
2026-08-28,131250,73250,92000,46500,63250,43250,34500,29750,29000,23500,22500,17750,42500,30250,19250,15000,19000,14000,13750,12000,intermodal
