date,index_name,index_code,close,open,high,low,volume,change_pct
2005-05-06,Capital Link MLP,CLMLP,2551.0,2551.0,2551.0,2551.0,0.0,0.0
2005-05-09,Capital Link MLP,CLMLP,2615.0,2615.0,2615.0,2615.0,0.0,2.51
2005-05-10,Capital Link MLP,CLMLP,2565.0,2565.0,2565.0,2565.0,0.0,-1.91
2005-05-11,Capital Link MLP,CLMLP,2573.0,2573.0,2573.0,2573.0,0.0,0.31
2005-05-12,Capital Link MLP,CLMLP,2555.0,2555.0,2555.0,2555.0,0.0,-0.7
2005-05-13,Capital Link MLP,CLMLP,2550.0,2550.0,2550.0,2550.0,0.0,-0.2
2005-05-16,Capital Link MLP,CLMLP,2550.0,2550.0,2550.0,2550.0,0.0,0.0
2005-05-17,Capital Link MLP,CLMLP,2635.0,2635.0,2635.0,2635.0,0.0,3.33
2005-05-18,Capital Link MLP,CLMLP,2610.0,2610.0,2610.0,2610.0,0.0,-0.95
2005-05-19,Capital Link MLP,CLMLP,2591.0,2591.0,2591.0,2591.0,0.0,-0.73
2005-05-20,Capital Link MLP,CLMLP,2613.0,2613.0,2613.0,2613.0,0.0,0.85
2005-05-23,Capital Link MLP,CLMLP,2585.0,2585.0,2585.0,2585.0,0.0,-1.07
2005-05-24,Capital Link MLP,CLMLP,2592.0,2592.0,2592.0,2592.0,0.0,0.27
2005-05-25,Capital Link MLP,CLMLP,2592.0,2592.0,2592.0,2592.0,0.0,0.0
2005-05-26,Capital Link MLP,CLMLP,2600.0,2600.0,2600.0,2600.0,0.0,0.31
2005-05-27,Capital Link MLP,CLMLP,2630.0,2630.0,2630.0,2630.0,0.0,1.15
2005-05-31,Capital Link MLP,CLMLP,2637.0,2637.0,2637.0,2637.0,0.0,0.27
2005-06-01,Capital Link MLP,CLMLP,2650.0,2650.0,2650.0,2650.0,0.0,0.49
2005-06-02,Capital Link MLP,CLMLP,2659.0,2659.0,2659.0,2659.0,0.0,0.34
2005-06-03,Capital Link MLP,CLMLP,2660.0,2660.0,2660.0,2660.0,0.0,0.04
2005-06-06,Capital Link MLP,CLMLP,2659.0,2659.0,2659.0,2659.0,0.0,-0.04
2005-06-07,Capital Link MLP,CLMLP,2640.0,2640.0,2640.0,2640.0,0.0,-0.71
2005-06-08,Capital Link MLP,CLMLP,2602.0,2602.0,2602.0,2602.0,0.0,-1.44
2005-06-09,Capital Link MLP,CLMLP,2608.0,2608.0,2608.0,2608.0,0.0,0.23
2005-06-10,Capital Link MLP,CLMLP,2585.0,2585.0,2585.0,2585.0,0.0,-0.88
2005-06-13,Capital Link MLP,CLMLP,2537.0,2537.0,2537.0,2537.0,0.0,-1.86
2005-06-14,Capital Link MLP,CLMLP,2558.0,2558.0,2558.0,2558.0,0.0,0.83
2005-06-15,Capital Link MLP,CLMLP,2580.0,2580.0,2580.0,2580.0,0.0,0.86
2005-06-16,Capital Link MLP,CLMLP,2700.0,2700.0,2700.0,2700.0,0.0,4.65
2005-06-17,Capital Link MLP,CLMLP,2717.0,2717.0,2717.0,2717.0,0.0,0.63
