category,ticker,cik,name,latest_form,latest_filing_date
ETFS,BDRY,1610940,Amplify Commodity Trust,10-Q,2026-05-15
ETFS,BWET,1610940,Amplify Commodity Trust,10-Q,2026-05-15
DRY_BULK,SBLK,1386716,Star Bulk Carriers Corp.,6-K,2026-09-04
DRY_BULK,GNK,1326200,GENCO SHIPPING & TRADING LTD,4,2026-09-03
DRY_BULK,DSX,1318885,DIANA SHIPPING INC.,4,2026-09-03
DRY_BULK,PANL,1606909,Pangaea Logistics Solutions Ltd.,10-Q,2026-08-10
DRY_BULK,CTRM,1720161,Castor Maritime Inc.,6-K,2026-08-07
TANKERS,FRO,913290,Frontline plc,6-K,2026-08-28
TANKERS,STNG,1483934,Scorpio Tankers Inc.,144,2026-09-04
TANKERS,INSW,1679049,"International Seaways, Inc.",4,2026-08-18
TANKERS,TRMD,1655891,TORM plc,6-K,2026-09-02
TANKERS,DHT,1331284,"DHT Holdings, Inc.",4,2026-08-24
TANKERS,TNK,1419945,TEEKAY TANKERS LTD.,4,2026-08-25
TANKERS,NAT,1000177,NORDIC AMERICAN TANKERS Ltd,6-K,2026-08-27
TANKERS,HSHP,1959455,Himalaya Shipping Ltd.,6-K,2026-08-27
CONTAINER_GAS,ZIM,1654126,ZIM Integrated Shipping Services Ltd.,4,2026-08-26
CONTAINER_GAS,DAC,1369241,Danaos Corp,6-K,2026-08-04
CONTAINER_GAS,FLNG,1772253,Flex LNG Ltd.,4,2026-08-21
CONTAINER_GAS,GLNG,1207179,GOLAR LNG LTD,6-K,2026-08-19
