date,composite_index,shanghai_rotterdam,shanghai_genoa,shanghai_la,shanghai_ny,rotterdam_shanghai
2021-12-23,9304.05,9304.05,9304.05,9304.05,9304.05,9304.05
2022-01-06,9409.0,9408.81,9408.81,9408.81,9408.81,9408.81
2022-01-13,9477.0,9544.66,9544.66,9544.66,9544.66,9544.66
2022-01-20,9551.0,9698.33,9698.33,9698.33,9698.33,9698.33
2022-01-27,9518.0,9419.5,9419.5,9419.5,9419.5,9419.5
2022-02-17,9455.0,9378.51,9378.51,9378.51,9378.51,9378.51
2022-02-24,9458.0,9477.46,9477.46,9477.46,9477.46,9477.46
2024-01-04,2100.0,2352.0,2338.0,1995.0,2745.0,378.0
2024-01-11,2190.9,2477.4,2433.0,2129.3,2849.2,397.3
2024-01-18,2269.6,2587.1,2508.9,2240.3,2920.6,414.4
2024-01-25,2325.6,2667.3,2555.2,2309.1,2950.5,427.1
2024-02-01,2352.3,2709.1,2565.8,2325.6,2936.9,434.2
2024-02-08,2347.5,2709.0,2540.3,2290.0,2884.4,435.2
2024-02-15,2314.2,2669.8,2483.4,2212.6,2804.3,430.5
2024-02-22,2260.1,2600.4,2405.6,2112.0,2712.1,421.6
2024-02-29,2196.2,2513.8,2320.3,2010.7,2625.5,410.3
2024-03-07,2135.7,2426.2,2243.3,1931.2,2562.0,399.0
2024-03-14,2091.7,2354.0,2189.7,1891.2,2536.2,390.1
2024-03-21,2075.8,2312.3,2172.7,1901.5,2557.9,385.8
2024-03-28,2096.6,2312.8,2201.6,1963.8,2631.2,387.5
2024-04-04,2158.7,2362.7,2280.6,2072.3,2754.6,396.3
2024-04-11,2263.1,2464.9,2409.8,2215.6,2921.9,412.4
2024-04-18,2407.2,2617.9,2585.0,2380.6,3124.2,435.4
2024-04-25,2586.0,2816.6,2799.0,2555.6,3351.7,464.6
2024-05-02,2793.2,3054.3,3043.1,2733.4,3595.8,498.9
2024-05-09,3022.4,3323.3,3308.6,2912.5,3851.0,537.4
2024-05-16,3267.3,3615.3,3587.1,3096.4,4114.3,578.9
2024-05-23,3522.4,3922.7,3871.4,3291.9,4385.5,622.7
2024-05-30,3782.2,4237.4,4154.8,3505.1,4665.4,667.7
2024-06-06,4040.6,4550.4,4430.4,3738.6,4953.4,713.0
2024-06-13,4290.5,4851.6,4690.8,3988.4,5246.1,757.4
2024-06-20,4522.8,5129.0,4927.2,4243.0,5535.3,799.2
2024-06-27,4727.3,5369.6,5129.7,4484.3,5808.4,836.5
2024-07-04,4893.0,5560.0,5288.2,4690.4,6048.9,867.5
2024-07-11,5009.7,5688.5,5393.4,4839.6,6238.8,890.2
2024-07-18,5069.4,5746.1,5438.6,4915.0,6361.1,903.0
2024-07-25,5067.4,5728.5,5420.4,4907.5,6402.4,905.2
2024-08-01,5003.4,5636.8,5339.9,4818.3,6355.5,896.4
2024-08-08,4881.2,5476.9,5202.2,4657.8,6219.8,877.4
2024-08-15,4708.3,5259.3,5016.0,4444.1,6002.1,849.2
2024-08-22,4494.7,4997.5,4792.0,4198.8,5715.1,813.7
2024-08-29,4252.0,4706.3,4542.2,3943.3,5376.4,772.8
2024-09-05,3992.0,4400.7,4278.1,3694.8,5006.4,728.4
2024-09-12,3726.3,4095.0,4010.8,3464.9,4626.7,682.6
2024-09-19,3466.1,3802.5,3750.7,3258.5,4258.8,637.4
2024-09-26,3221.8,3534.9,3507.1,3075.7,3922.4,594.4
2024-10-03,3002.9,3302.3,3288.5,2913.3,3634.3,555.5
2024-10-10,2818.2,3113.5,3102.7,2768.6,3407.8,522.1
2024-10-17,2674.6,2974.5,2956.1,2640.6,3250.9,495.5
2024-10-24,2577.1,2889.0,2853.2,2531.9,3166.1,476.7
2024-10-31,2527.3,2856.8,2795.6,2448.1,3149.7,465.9
2024-11-07,2523.4,2873.6,2781.7,2396.3,3192.1,463.0
2024-11-14,2559.4,2930.8,2805.8,2382.7,3278.5,466.9
2024-11-21,2625.7,3016.3,2858.9,2409.8,3390.2,476.0
2024-11-28,2710.0,3115.1,2929.4,2474.7,3507.4,488.2
2024-12-05,2798.3,3211.3,3004.0,2567.8,3610.6,501.1
2024-12-12,2877.3,3290.2,3070.1,2674.3,3684.4,512.4
2024-12-19,2935.6,3339.9,3117.3,2775.6,3718.5,520.2
2024-12-26,2965.6,3353.2,3138.6,2853.2,3709.4,523.3
2025-01-02,2964.2,3328.5,3131.7,2892.2,3660.8,521.1
2025-01-09,2933.6,3270.4,3099.6,2884.9,3582.6,514.2
2025-01-16,2880.6,3188.5,3049.4,2832.2,3489.8,503.8
2025-01-23,2815.6,3096.5,2991.7,2744.7,3399.5,491.8
2025-01-30,2750.9,3010.0,2938.7,2640.4,3328.5,480.5
