contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
FEFF27,Jan 2027,2027,2026-09-07,100.03,11952.0,62656.0,2027-01-29
FEFF28,Jan 2028,2028,2026-09-07,97.82,0.0,923.0,2028-01-31
FEFF29,Jan 2029,2029,2026-09-07,95.5,0.0,260.0,2029-01-31
FEFG27,Feb 2027,2027,2026-09-07,99.85,2399.0,25554.0,2027-02-26
FEFG28,Feb 2028,2028,2026-09-07,97.65,0.0,923.0,2028-02-29
FEFG29,Feb 2029,2029,2026-09-07,95.29,0.0,260.0,2029-02-28
FEFH27,Mar 2027,2027,2026-09-07,99.65,1908.0,21327.0,2027-03-31
FEFH28,Mar 2028,2028,2026-09-07,97.46,0.0,923.0,2028-03-31
FEFH29,Mar 2029,2029,2026-09-07,95.08,0.0,260.0,2029-03-30
FEFJ27,Apr 2027,2027,2026-09-07,99.45,25.0,13866.0,2027-04-30
FEFJ28,Apr 2028,2028,2026-09-07,97.26,0.0,892.0,2028-04-28
FEFJ29,Apr 2029,2029,2026-09-07,94.9,0.0,260.0,2029-04-30
FEFK27,May 2027,2027,2026-09-07,99.25,25.0,14607.0,2027-05-31
FEFK28,May 2028,2028,2026-09-07,97.05,0.0,892.0,2028-05-31
FEFK29,May 2029,2029,2026-09-07,94.73,0.0,260.0,2029-05-31
FEFM27,Jun 2027,2027,2026-09-07,99.06,25.0,12827.0,2027-06-30
FEFM28,Jun 2028,2028,2026-09-07,96.85,0.0,893.0,2028-06-30
FEFM29,Jun 2029,2029,2026-09-07,94.56,0.0,260.0,2029-06-29
FEFN27,Jul 2027,2027,2026-09-07,98.86,0.0,11571.0,2027-07-30
FEFN28,Jul 2028,2028,2026-09-07,96.65,0.0,880.0,2028-07-31
FEFN29,Jul 2029,2029,2026-09-07,94.38,0.0,265.0,2029-07-31
FEFQ27,Aug 2027,2027,2026-09-07,98.67,0.0,11571.0,2027-08-31
FEFQ28,Aug 2028,2028,2026-09-07,96.46,0.0,880.0,2028-08-31
FEFQ29,Aug 2029,2029,2026-09-07,94.2,0.0,260.0,2029-08-31
FEFU26,Sep 2026,2026,2026-09-07,100.26,41333.0,359680.0,2026-09-30
FEFU27,Sep 2027,2027,2026-09-07,98.48,0.0,11988.0,2027-09-30
FEFU28,Sep 2028,2028,2026-09-07,96.26,0.0,880.0,2028-09-29
FEFU29,Sep 2029,2029,2026-09-07,94.02,0.0,260.0,2029-09-28
FEFV26,Oct 2026,2026,2026-09-07,100.32,144279.0,398236.0,2026-10-30
FEFV27,Oct 2027,2027,2026-09-07,98.31,0.0,8112.0,2027-10-29
FEFV28,Oct 2028,2028,2026-09-07,96.09,0.0,830.0,2028-10-31
FEFV29,Oct 2029,2029,2026-09-07,93.84,0.0,260.0,2029-10-31
FEFX26,Nov 2026,2026,2026-09-07,100.26,56034.0,153778.0,2026-11-30
FEFX27,Nov 2027,2027,2026-09-07,98.15,0.0,7755.0,2027-11-30
FEFX28,Nov 2028,2028,2026-09-07,95.9,0.0,832.0,2028-11-30
FEFX29,Nov 2029,2029,2026-09-07,93.67,0.0,260.0,2029-11-30
FEFZ26,Dec 2026,2026,2026-09-07,100.16,19883.0,118880.0,2026-12-31
FEFZ27,Dec 2027,2027,2026-09-07,97.98,0.0,10704.0,2027-12-31
FEFZ28,Dec 2028,2028,2026-09-07,95.71,0.0,980.0,2028-12-29
FEFZ29,Dec 2029,2029,2026-09-07,93.5,0.0,260.0,2029-12-31
