contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
SWFF29,Jan 2029,2029,2024-08-09,11950.0,0.0,,31-01-2029
SWFF30,Jan 2030,2030,2024-08-09,11908.0,0.0,,31-01-2030
SWFF31,Jan 2031,2031,2024-08-09,11892.0,0.0,,31-01-2031
SWFG29,Feb 2029,2029,2024-08-09,11950.0,0.0,,28-02-2029
SWFG30,Feb 2030,2030,2024-08-09,11908.0,0.0,,28-02-2030
SWFG31,Feb 2031,2031,2024-08-09,11892.0,0.0,,28-02-2031
SWFH29,Mar 2029,2029,2024-08-09,11950.0,0.0,,30-03-2029
SWFH30,Mar 2030,2030,2024-08-09,11908.0,0.0,,29-03-2030
SWFH31,Mar 2031,2031,2024-08-09,11892.0,0.0,,31-03-2031
SWFJ29,Apr 2029,2029,2024-08-09,11950.0,0.0,,30-04-2029
SWFJ30,Apr 2030,2030,2024-08-09,11908.0,0.0,,30-04-2030
SWFJ31,Apr 2031,2031,2024-08-09,11892.0,0.0,,30-04-2031
SWFK29,May 2029,2029,2024-08-09,11950.0,0.0,,31-05-2029
SWFK30,May 2030,2030,2024-08-09,11908.0,0.0,,31-05-2030
SWFK31,May 2031,2031,2024-08-09,11892.0,0.0,,30-05-2031
SWFM29,Jun 2029,2029,2024-08-09,11950.0,0.0,,29-06-2029
SWFM30,Jun 2030,2030,2024-08-09,11908.0,0.0,,28-06-2030
SWFM31,Jun 2031,2031,2024-08-09,11892.0,0.0,,30-06-2031
SWFN29,Jul 2029,2029,2024-08-09,11950.0,0.0,,31-07-2029
SWFN30,Jul 2030,2030,2024-08-09,11908.0,0.0,,31-07-2030
SWFN31,Jul 2031,2031,2024-08-09,11892.0,0.0,,31-07-2031
SWFQ29,Aug 2029,2029,2024-08-09,11950.0,0.0,,31-08-2029
SWFQ30,Aug 2030,2030,2024-08-09,11908.0,0.0,,30-08-2030
SWFQ31,Aug 2031,2031,2024-08-09,11892.0,0.0,,29-08-2031
SWFU29,Sep 2029,2029,2024-08-09,11950.0,0.0,,28-09-2029
SWFU30,Sep 2030,2030,2024-08-09,11908.0,0.0,,30-09-2030
SWFU31,Sep 2031,2031,2024-08-09,11892.0,0.0,,30-09-2031
SWFV29,Oct 2029,2029,2024-08-09,11950.0,0.0,,31-10-2029
SWFV30,Oct 2030,2030,2024-08-09,11908.0,0.0,,31-10-2030
SWFV31,Oct 2031,2031,2024-08-09,11892.0,0.0,,31-10-2031
SWFX29,Nov 2029,2029,2024-08-09,11950.0,0.0,,30-11-2029
SWFX30,Nov 2030,2030,2024-08-09,11908.0,0.0,,29-11-2030
SWFX31,Nov 2031,2031,2024-08-09,11892.0,0.0,,28-11-2031
SWFZ29,Dec 2029,2029,2024-08-09,11950.0,0.0,,24-12-2029
SWFZ30,Dec 2030,2030,2024-08-09,11908.0,0.0,,24-12-2030
SWFZ31,Dec 2031,2031,2024-08-09,11892.0,0.0,,24-12-2031
