date,column,old,new,source
2021-07-07,panamax_1y_pac,19500.0,34000.0,2026-08-19.csv
2021-08-04,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-11,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-25,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-09-01,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-08,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-15,handysize_1y_pac,25000.0,35000.0,2026-08-19.csv
2021-09-22,capesize_1y_atl,32000.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_atl,32500.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_pac,31500.0,43500.0,2026-08-19.csv
2021-09-29,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-06,capesize_1y_atl,37000.0,54000.0,2026-08-19.csv
2021-10-06,capesize_1y_pac,36000.0,52500.0,2026-08-19.csv
2021-10-06,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-13,capesize_1y_pac,36000.0,53000.0,2026-08-19.csv
2021-10-13,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-20,capesize_1y_atl,37000.0,52000.0,2026-08-19.csv
2021-10-20,capesize_1y_pac,36000.0,50000.0,2026-08-19.csv
2021-10-20,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-11-03,supramax_1y_atl,27000.0,39000.0,2026-08-19.csv
2021-11-03,supramax_1y_pac,24750.0,38500.0,2026-08-19.csv
2021-11-03,handysize_1y_pac,24000.0,32500.0,2026-08-19.csv
2022-01-12,panamax_1y_atl,24000.0,34000.0,2026-08-19.csv
2022-01-19,panamax_1y_atl,24000.0,34000.0,2026-08-19.csv
2022-04-13,supramax_1y_pac,22000.0,33000.0,2026-08-19.csv
2022-04-20,supramax_1y_pac,21000.0,28500.0,2026-08-19.csv
2022-05-04,supramax_1y_pac,22000.0,32000.0,2026-08-19.csv
2022-09-14,panamax_1y_atl,15000.0,21500.0,2026-08-19.csv
2022-11-30,supramax_1y_pac,10000.0,1300.0,2026-08-19.csv
2023-11-29,handysize_1y_atl,10000.0,14000.0,2026-08-19.csv
2023-12-06,handysize_1y_atl,10000.0,14000.0,2026-08-19.csv
2023-12-20,supramax_1y_atl,13000.0,18500.0,2026-08-19.csv
2024-01-03,panamax_1y_atl,17500.0,23750.0,2026-08-19.csv
2024-01-03,supramax_1y_atl,13000.0,18500.0,2026-08-19.csv
2024-08-14,panamax_1y_atl,15500.0,21000.0,2026-08-19.csv
2025-04-16,panamax_1y_atl,43750.0,14000.0,2026-08-19.csv
2025-04-16,handysize_1y_atl,42500.0,13000.0,2026-08-19.csv
2025-04-16,supramax_1y_pac,4500.0,15000.0,2026-08-19.csv
2025-09-10,panamax_1y_atl,16500.0,22500.0,2026-08-19.csv
2021-07-07,panamax_1y_pac,19500.0,34000.0,2026-08-19.csv
2021-08-04,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-11,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-25,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-09-01,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-08,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-15,handysize_1y_pac,25000.0,35000.0,2026-08-19.csv
2021-09-22,capesize_1y_atl,32000.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_atl,32500.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_pac,31500.0,43500.0,2026-08-19.csv
2021-09-29,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-06,capesize_1y_atl,37000.0,54000.0,2026-08-19.csv
2021-10-06,capesize_1y_pac,36000.0,52500.0,2026-08-19.csv
2021-10-06,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-13,capesize_1y_pac,36000.0,53000.0,2026-08-19.csv
2021-10-13,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-20,capesize_1y_atl,37000.0,52000.0,2026-08-19.csv
2021-10-20,capesize_1y_pac,36000.0,50000.0,2026-08-19.csv
2021-10-20,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-11-03,supramax_1y_atl,27000.0,39000.0,2026-08-19.csv
2021-11-03,supramax_1y_pac,24750.0,38500.0,2026-08-19.csv
2021-11-03,handysize_1y_pac,24000.0,32500.0,2026-08-19.csv
2022-01-12,panamax_1y_atl,24000.0,34000.0,2026-08-19.csv
2022-01-19,panamax_1y_atl,24000.0,34000.0,2026-08-19.csv
2022-04-13,supramax_1y_pac,22000.0,33000.0,2026-08-19.csv
2022-04-20,supramax_1y_pac,21000.0,28500.0,2026-08-19.csv
2022-05-04,supramax_1y_pac,22000.0,32000.0,2026-08-19.csv
2022-09-14,panamax_1y_atl,15000.0,21500.0,2026-08-19.csv
2022-11-30,supramax_1y_pac,10000.0,1300.0,2026-08-19.csv
2023-11-29,handysize_1y_atl,10000.0,14000.0,2026-08-19.csv
2023-12-06,handysize_1y_atl,10000.0,14000.0,2026-08-19.csv
2023-12-20,supramax_1y_atl,13000.0,18500.0,2026-08-19.csv
2024-01-03,panamax_1y_atl,17500.0,23750.0,2026-08-19.csv
2024-01-03,supramax_1y_atl,13000.0,18500.0,2026-08-19.csv
2024-08-14,panamax_1y_atl,15500.0,21000.0,2026-08-19.csv
2025-04-16,panamax_1y_atl,43750.0,14000.0,2026-08-19.csv
2025-04-16,handysize_1y_atl,42500.0,13000.0,2026-08-19.csv
2025-04-16,supramax_1y_pac,4500.0,15000.0,2026-08-19.csv
2025-09-10,panamax_1y_atl,16500.0,22500.0,2026-08-19.csv
2021-07-07,panamax_1y_pac,19500.0,34000.0,2026-08-19.csv
2021-08-04,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-11,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-08-25,handysize_1y_pac,24000.0,34000.0,2026-08-19.csv
2021-09-01,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-08,handysize_1y_pac,24500.0,35000.0,2026-08-19.csv
2021-09-15,handysize_1y_pac,25000.0,35000.0,2026-08-19.csv
2021-09-22,capesize_1y_atl,32000.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_atl,32500.0,45000.0,2026-08-19.csv
2021-09-29,capesize_1y_pac,31500.0,43500.0,2026-08-19.csv
2021-09-29,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-06,capesize_1y_atl,37000.0,54000.0,2026-08-19.csv
2021-10-06,capesize_1y_pac,36000.0,52500.0,2026-08-19.csv
2021-10-06,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-13,capesize_1y_pac,36000.0,53000.0,2026-08-19.csv
2021-10-13,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-10-20,capesize_1y_atl,37000.0,52000.0,2026-08-19.csv
2021-10-20,capesize_1y_pac,36000.0,50000.0,2026-08-19.csv
2021-10-20,handysize_1y_pac,25000.0,35500.0,2026-08-19.csv
2021-11-03,supramax_1y_atl,27000.0,39000.0,2026-08-19.csv
2021-11-03,supramax_1y_pac,24750.0,38500.0,2026-08-19.csv
2021-11-03,handysize_1y_pac,24000.0,32500.0,2026-08-19.csv
