date,port,fuel_grade,price_usd_mt
2026-08-22,americas_average,IFO380,645.5
2026-08-22,americas_average,MGO,1445.5
2026-08-22,americas_average,VLSFO,844.0
2026-08-22,apac_average,IFO380,689.5
2026-08-22,apac_average,MGO,1394.0
2026-08-22,apac_average,VLSFO,899.0
2026-08-22,emea_average,IFO380,644.5
2026-08-22,emea_average,MGO,1559.5
2026-08-22,emea_average,VLSFO,829.5
2026-08-22,fujairah,IFO380,672.0
2026-08-22,fujairah,MGO,1445.5
2026-08-22,fujairah,VLSFO,824.0
2026-08-22,global_20_ports_average,IFO380,653.5
2026-08-22,global_20_ports_average,MGO,1395.0
2026-08-22,global_20_ports_average,VLSFO,823.5
2026-08-22,global_4_ports_average,IFO380,599.0
2026-08-22,global_4_ports_average,MGO,1318.0
2026-08-22,global_4_ports_average,VLSFO,758.5
2026-08-22,global_average_bunker_price,IFO380,663.5
2026-08-22,global_average_bunker_price,MGO,1464.5
2026-08-22,global_average_bunker_price,VLSFO,865.5
2026-08-22,hong_kong,IFO380,681.5
2026-08-22,hong_kong,MGO,1230.0
2026-08-22,hong_kong,VLSFO,843.5
2026-08-22,houston,IFO380,488.0
2026-08-22,houston,MGO,1295.5
2026-08-22,houston,VLSFO,700.5
2026-08-22,la_/_long_beach,IFO380,713.5
2026-08-22,la_/_long_beach,MGO,1435.0
2026-08-22,la_/_long_beach,VLSFO,869.0
2026-08-22,new_york,IFO380,536.0
2026-08-22,new_york,MGO,1430.0
2026-08-22,new_york,VLSFO,747.0
2026-08-22,rotterdam,IFO380,571.0
2026-08-22,rotterdam,MGO,1291.0
2026-08-22,rotterdam,VLSFO,675.5
2026-08-22,santos,IFO380,511.0
2026-08-22,santos,MGO,1368.0
2026-08-22,santos,VLSFO,813.0
2026-08-22,singapore,IFO380,665.5
2026-08-22,singapore,MGO,1239.5
2026-08-22,singapore,VLSFO,833.5
2026-08-24,americas_average,IFO380,645.5
2026-08-24,americas_average,MGO,1445.5
2026-08-24,americas_average,VLSFO,844.0
2026-08-24,apac_average,IFO380,689.5
2026-08-24,apac_average,MGO,1394.0
2026-08-24,apac_average,VLSFO,899.0
2026-08-24,emea_average,IFO380,644.5
2026-08-24,emea_average,MGO,1559.5
2026-08-24,emea_average,VLSFO,829.5
2026-08-24,fujairah,IFO380,672.0
2026-08-24,fujairah,MGO,1445.5
2026-08-24,fujairah,VLSFO,824.0
2026-08-24,global_20_ports_average,IFO380,653.5
2026-08-24,global_20_ports_average,MGO,1395.0
2026-08-24,global_20_ports_average,VLSFO,823.5
2026-08-24,global_4_ports_average,IFO380,599.0
2026-08-24,global_4_ports_average,MGO,1318.0
2026-08-24,global_4_ports_average,VLSFO,758.5
2026-08-24,global_average_bunker_price,IFO380,663.5
2026-08-24,global_average_bunker_price,MGO,1464.5
2026-08-24,global_average_bunker_price,VLSFO,865.5
2026-08-24,hong_kong,IFO380,681.5
2026-08-24,hong_kong,MGO,1230.0
2026-08-24,hong_kong,VLSFO,843.5
2026-08-24,houston,IFO380,488.0
2026-08-24,houston,MGO,1295.5
2026-08-24,houston,VLSFO,700.5
2026-08-24,la_/_long_beach,IFO380,713.5
2026-08-24,la_/_long_beach,MGO,1435.0
2026-08-24,la_/_long_beach,VLSFO,869.0
2026-08-24,new_york,IFO380,536.0
2026-08-24,new_york,MGO,1430.0
2026-08-24,new_york,VLSFO,747.0
2026-08-24,rotterdam,IFO380,571.0
2026-08-24,rotterdam,MGO,1291.0
2026-08-24,rotterdam,VLSFO,675.5
2026-08-24,santos,IFO380,511.0
2026-08-24,santos,MGO,1368.0
2026-08-24,santos,VLSFO,813.0
2026-08-24,singapore,IFO380,665.5
2026-08-24,singapore,MGO,1239.5
2026-08-24,singapore,VLSFO,833.5
2026-08-25,americas_average,IFO380,644.5
2026-08-25,americas_average,MGO,1465.0
2026-08-25,americas_average,VLSFO,838.0
2026-08-25,apac_average,IFO380,692.0
2026-08-25,apac_average,MGO,1399.5
2026-08-25,apac_average,VLSFO,901.0
2026-08-25,emea_average,IFO380,639.5
2026-08-25,emea_average,MGO,1552.5
2026-08-25,emea_average,VLSFO,852.5
2026-08-25,fujairah,IFO380,666.0
2026-08-25,fujairah,MGO,1440.0
2026-08-25,fujairah,VLSFO,823.5
2026-08-25,global_20_ports_average,IFO380,650.0
2026-08-25,global_20_ports_average,MGO,1389.0
2026-08-25,global_20_ports_average,VLSFO,820.5
2026-08-25,global_4_ports_average,IFO380,596.5
2026-08-25,global_4_ports_average,MGO,1308.5
2026-08-25,global_4_ports_average,VLSFO,760.0
2026-08-25,global_average_bunker_price,IFO380,662.5
2026-08-25,global_average_bunker_price,MGO,1470.5
2026-08-25,global_average_bunker_price,VLSFO,871.0
2026-08-25,hong_kong,IFO380,681.0
2026-08-25,hong_kong,MGO,1223.5
2026-08-25,hong_kong,VLSFO,843.5
2026-08-25,houston,IFO380,484.5
2026-08-25,houston,MGO,1276.5
2026-08-25,houston,VLSFO,704.5
2026-08-25,la_/_long_beach,IFO380,704.5
2026-08-25,la_/_long_beach,MGO,1419.0
2026-08-25,la_/_long_beach,VLSFO,858.5
2026-08-25,new_york,IFO380,534.0
2026-08-25,new_york,MGO,1421.5
2026-08-25,new_york,VLSFO,742.5
2026-08-25,rotterdam,IFO380,565.0
2026-08-25,rotterdam,MGO,1279.0
2026-08-25,rotterdam,VLSFO,681.0
2026-08-25,santos,IFO380,511.0
2026-08-25,santos,MGO,1364.0
2026-08-25,santos,VLSFO,809.5
2026-08-25,singapore,IFO380,671.5
2026-08-25,singapore,MGO,1239.0
2026-08-25,singapore,VLSFO,831.5
2026-08-26,americas_average,IFO380,638.5
2026-08-26,americas_average,MGO,1448.5
2026-08-26,americas_average,VLSFO,826.5
2026-08-26,apac_average,IFO380,685.0
2026-08-26,apac_average,MGO,1391.5
2026-08-26,apac_average,VLSFO,898.5
2026-08-26,emea_average,IFO380,630.5
2026-08-26,emea_average,MGO,1535.5
2026-08-26,emea_average,VLSFO,847.5
2026-08-26,fujairah,IFO380,653.5
2026-08-26,fujairah,MGO,1419.0
2026-08-26,fujairah,VLSFO,809.5
2026-08-26,global_20_ports_average,IFO380,636.5
2026-08-26,global_20_ports_average,MGO,1371.0
2026-08-26,global_20_ports_average,VLSFO,811.5
2026-08-26,global_4_ports_average,IFO380,582.0
2026-08-26,global_4_ports_average,MGO,1284.0
2026-08-26,global_4_ports_average,VLSFO,749.0
2026-08-26,global_average_bunker_price,IFO380,655.0
2026-08-26,global_average_bunker_price,MGO,1456.5
2026-08-26,global_average_bunker_price,VLSFO,866.0
2026-08-26,hong_kong,IFO380,669.5
2026-08-26,hong_kong,MGO,1194.0
2026-08-26,hong_kong,VLSFO,831.5
2026-08-26,houston,IFO380,474.5
2026-08-26,houston,MGO,1254.0
2026-08-26,houston,VLSFO,695.0
2026-08-26,la_/_long_beach,IFO380,697.0
2026-08-26,la_/_long_beach,MGO,1409.5
2026-08-26,la_/_long_beach,VLSFO,851.5
2026-08-26,new_york,IFO380,528.0
2026-08-26,new_york,MGO,1408.0
2026-08-26,new_york,VLSFO,738.0
2026-08-26,rotterdam,IFO380,546.0
2026-08-26,rotterdam,MGO,1253.0
2026-08-26,rotterdam,VLSFO,675.0
2026-08-26,santos,IFO380,511.0
2026-08-26,santos,MGO,1373.0
2026-08-26,santos,VLSFO,809.5
2026-08-26,singapore,IFO380,654.5
2026-08-26,singapore,MGO,1209.5
2026-08-26,singapore,VLSFO,817.0
2026-08-27,americas_average,IFO380,628.5
2026-08-27,americas_average,MGO,1441.5
2026-08-27,americas_average,VLSFO,817.5
2026-08-27,apac_average,IFO380,664.0
2026-08-27,apac_average,MGO,1347.0
2026-08-27,apac_average,VLSFO,870.0
2026-08-27,emea_average,IFO380,613.0
2026-08-27,emea_average,MGO,1505.0
2026-08-27,emea_average,VLSFO,831.0
2026-08-27,fujairah,IFO380,623.5
2026-08-27,fujairah,MGO,1384.0
2026-08-27,fujairah,VLSFO,788.0
2026-08-27,global_20_ports_average,IFO380,625.0
2026-08-27,global_20_ports_average,MGO,1341.0
2026-08-27,global_20_ports_average,VLSFO,794.5
2026-08-27,global_4_ports_average,IFO380,562.0
2026-08-27,global_4_ports_average,MGO,1244.0
2026-08-27,global_4_ports_average,VLSFO,726.5
2026-08-27,global_average_bunker_price,IFO380,637.5
2026-08-27,global_average_bunker_price,MGO,1427.5
2026-08-27,global_average_bunker_price,VLSFO,845.5
2026-08-27,hong_kong,IFO380,653.5
2026-08-27,hong_kong,MGO,1139.0
2026-08-27,hong_kong,VLSFO,813.5
2026-08-27,houston,IFO380,463.5
2026-08-27,houston,MGO,1232.0
2026-08-27,houston,VLSFO,679.0
2026-08-27,la_/_long_beach,IFO380,683.5
2026-08-27,la_/_long_beach,MGO,1394.0
2026-08-27,la_/_long_beach,VLSFO,824.0
2026-08-27,new_york,IFO380,525.5
2026-08-27,new_york,MGO,1401.0
2026-08-27,new_york,VLSFO,728.0
2026-08-27,rotterdam,IFO380,532.0
2026-08-27,rotterdam,MGO,1220.5
2026-08-27,rotterdam,VLSFO,658.5
2026-08-27,santos,IFO380,511.0
2026-08-27,santos,MGO,1359.0
2026-08-27,santos,VLSFO,787.5
2026-08-27,singapore,IFO380,628.5
2026-08-27,singapore,MGO,1139.5
2026-08-27,singapore,VLSFO,781.0
2026-08-31,americas_average,IFO380,633.0
2026-08-31,americas_average,MGO,1465.5
2026-08-31,americas_average,VLSFO,826.5
