year,week,published_date,sale_date,vessel_name,vessel_type,build_date,seller,source
2026,21,,5/22/2026,Glas Dowr,FPSO TANKER,Mar 1996,Bluewater Energy Services,ShipAndBunker_VesselsValue
2026,21,,5/22/2026,Yogi,POST PANAMAX CONT,Mar 2006,Undisclosed,ShipAndBunker_VesselsValue
2026,21,,5/22/2026,Grouse Arrow,HANDYMAX,Jul 1991,Gearbulk Holding AG,ShipAndBunker_VesselsValue
2026,20,,5/16/2026,Hanjin 3007,PALLETISED,Aug 1998,Hanjin Transportation Co,ShipAndBunker_VesselsValue
2026,20,,5/15/2026,Maymei,HANDY TANKER,Nov 1997,Ever Shining,ShipAndBunker_VesselsValue
2026,20,,5/15/2026,Valaris MS 1,SEMI SUB DRILL RIG,Apr 2011,Valaris,ShipAndBunker_VesselsValue
2026,19,,5/11/2026,Gion Maru No 8,SMALL HANDY,Mar 1992,Ryuei Kisen YK,ShipAndBunker_VesselsValue
2026,19,,5/9/2026,Gas Crusader,SP FR LPG,Oct 1996,Unifleet,ShipAndBunker_VesselsValue
2026,19,,5/8/2026,B Gas Commander,SP FR LPG,Jun 1996,Bergshav AS,ShipAndBunker_VesselsValue
2026,18,,5/6/2026,NQ Zinnia,SMALL TANKER,Feb 1998,Christiania Shipping Holding BV,ShipAndBunker_VesselsValue
2026,18,,5/5/2026,Gautam,AHTS,Sep 1976,Ahilya Marine Incorporation,ShipAndBunker_VesselsValue
2026,18,,5/5/2026,MSC Baltic III,SUB PANAMAX CONT,Sep 2003,MSC,ShipAndBunker_VesselsValue
2026,18,,5/4/2026,Damas,HANDY TANKER,Feb 1998,M Shipping,ShipAndBunker_VesselsValue
2026,18,,5/4/2026,Jal Shakti,HANDY TANKER,Feb 1998,Jaldhi,ShipAndBunker_VesselsValue
2026,18,,5/4/2026,Explorindo 1,HANDY TANKER,Sep 2001,Buana Lintas Lautan,ShipAndBunker_VesselsValue
2026,18,,5/4/2026,Jenny Lucky,HANDYMAX,Oct 1992,Brilliant Ship Management,ShipAndBunker_VesselsValue
2026,17,,4/28/2026,Festival,HANDY BULKER,Mar 1996,Feng Sea Shipping,ShipAndBunker_VesselsValue
2026,17,,4/25/2026,Xiong Hai,SMALL TANKER,Oct 1987,Ever Union Intermaritime,ShipAndBunker_VesselsValue
2026,16,,4/22/2026,Belfast,GEN CARGO,Jan 1982,Adler Denizcilik,ShipAndBunker_VesselsValue
2026,16,,4/21/2026,HDW Herkules,STANDBY / ERRV,Jul 1960,ThyssenKrupp AG,ShipAndBunker_VesselsValue
2026,15,,4/14/2026,Douga,CAPESIZE,May 2002,Jiuhe Group Co Ltd,ShipAndBunker_VesselsValue
2026,15,,4/13/2026,Seju Frontier,RO-RO,Jan 1988,Sejin Marine Co,ShipAndBunker_VesselsValue
2026,15,,4/13/2026,Shin Ho Chun No 102,REEFER,Jan 2002,Tunago Shipping,ShipAndBunker_VesselsValue
2026,15,,4/12/2026,Godspeed 6666,HANDYMAX,Jun 1996,INLACO HP,ShipAndBunker_VesselsValue
2026,15,,4/12/2026,Hao Hung 66,HANDY BULKER,Jul 1996,INLACO HP,ShipAndBunker_VesselsValue
2026,15,,4/12/2026,Hao Hung 01,HANDY BULKER,Nov 1988,INLACO HP,ShipAndBunker_VesselsValue
2026,15,,4/12/2026,Andhika Kanishka,PANAMAX BULKER,May 1998,Andhika Lines,ShipAndBunker_VesselsValue
2026,15,,4/10/2026,Hongkong Energy,LARGE LNG,Mar 2004,CIMC Financial Leasing,ShipAndBunker_VesselsValue
2026,14,,4/7/2026,Bow Faith,HANDY TANKER,Apr 1997,Odfjell Tankers,ShipAndBunker_VesselsValue
2026,14,,4/7/2026,Eternal Joy,HANDY BULKER,Apr 1997,Eternal Star Shipping,ShipAndBunker_VesselsValue
2026,14,,4/6/2026,Eternal Ace,HANDY BULKER,May 1997,Eternal Star Shipping,ShipAndBunker_VesselsValue
2026,14,,4/4/2026,Biskra,SMALL TANKER,Oct 1993,Rec Bitumen,ShipAndBunker_VesselsValue
2026,13,,3/30/2026,Ocean Rosemary,HANDYMAX,May 1996,Shanghai Yongyao Shipping,ShipAndBunker_VesselsValue
2026,13,,3/27/2026,Mali,VLCC,Nov 2001,Ceres Shipping,ShipAndBunker_VesselsValue
2026,13,,3/27/2026,Jian Jie,SMALL TANKER,Jul 2005,Swiftbright Shipping,ShipAndBunker_VesselsValue
2026,13,,3/27/2026,Star Gate,SMALL HANDY,Aug 1991,Century Shipping,ShipAndBunker_VesselsValue
2026,12,,3/20/2026,Jaeger Arrow,HANDY BULKER,May 2001,Gearbulk Holding AG,ShipAndBunker_VesselsValue
2026,11,,3/17/2026,Maya,HANDY TANKER,Jun 2000,Undisclosed,ShipAndBunker_VesselsValue
2026,11,,3/17/2026,Puteri Zamrud,LARGE LNG,May 1996,MISC,ShipAndBunker_VesselsValue
2026,11,,3/14/2026,Toro,GEN CARGO,Nov 1989,Almar Denizcilik Ticaret,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Puteri Zamrud Satu,LARGE LNG,Jan 2004,MISC,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Puteri Firus Satu,LARGE LNG,Sep 2004,MISC,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Puteri Mutiara Satu,LARGE LNG,Apr 2005,MISC,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Jin Jiang,CAPESIZE,Aug 2000,Ping On Enterprise,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Kokopo Chief,FEEDERMAX,May 1991,Swire Shipping,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Wantong Summer,HANDYMAX,May 1996,Just Power Holdings,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Ocean Amazing,HANDYMAX,Jan 1998,Indofood Sukses Makmur,ShipAndBunker_VesselsValue
2026,11,,3/13/2026,Energia Centaurus,POST PANAMAX BULKER,Jun 2001,MOL,ShipAndBunker_VesselsValue
2026,10,,3/9/2026,Guzel,RO-RO,Jun 1980,Avrasya Shipping,ShipAndBunker_VesselsValue
2026,10,,3/8/2026,Smooth Sea,SMALL TANKER,Jun 1986,Smooth Sea,ShipAndBunker_VesselsValue
2026,10,,3/6/2026,Atlas,GEN CARGO,Jun 1995,Navessia Shipping,ShipAndBunker_VesselsValue
2026,9,,3/2/2026,Felicita,HANDY TANKER,Jun 2000,Vast Marine,ShipAndBunker_VesselsValue
