target,model,covariates,context,horizon,mae,rmse,mape,smape,dir_acc,mae_logret,spearman_ic,win_rate_vs_naive,runtime_s,n_origins
bci,drift,none,128,5,1068.0407448555668,1096.8412050137513,,,0.36,0.49991687623593234,-0.15626602827595515,0.11000000000000001,0.0,20
bci,drift,none,128,21,1333.0002403610342,1442.1845532006719,,,0.40476190476190477,0.6731815474473052,-0.14804658864202314,0.25952380952380955,0.0,20
bci,drift,none,128,63,1643.7219690107777,1829.541006669357,,,0.5053734061930784,0.7175534068534614,-0.057451740508050894,0.3277777777777778,0.0,20
bci,drift,none,128,64,1652.7347029692435,1840.1214408983408,,,0.5037298387096774,0.7191602665896547,-0.052284774269994984,0.32734375,0.0,20
bci,drift,none,256,5,1318.1962469172008,1340.2521966811519,,,0.51,0.6679521690912551,-0.026266028275955183,0.13,0.0,20
bci,drift,none,256,21,1322.6623009515092,1417.335392162547,,,0.5190476190476191,0.741516952918509,-0.0014699015637991198,0.3071428571428571,0.0,20
bci,drift,none,256,63,1507.925979796102,1685.1566162257873,,,0.5712464220660942,0.8049491335817164,0.1258491220568719,0.3277777777777778,0.0,20
bci,drift,none,256,64,1518.3961921505747,1698.531651051025,,,0.5716985887096774,0.8098475703742292,0.11633323392553263,0.328125,0.0,20
bci,ma90,none,128,5,1120.7777777777778,1140.4870786577226,,,0.52,0.49143090994766875,,0.16,0.0,20
bci,ma90,none,128,21,1118.9383597883598,1209.3400197206697,,,0.5595238095238095,0.54534533474758,,0.4023809523809524,0.0,20
bci,ma90,none,128,63,1234.9423104056436,1408.5465637777481,,,0.6148972157168878,0.5775980538319889,,0.4793650793650793,0.0,20
bci,ma90,none,128,64,1241.5682638888889,1417.4193262963595,,,0.6146673387096774,0.5802652779909698,,0.48046875,0.0,20
bci,ma90,none,256,5,1120.7777777777778,1140.4870786577226,,,0.52,0.49143090994766875,,0.16,0.0,20
bci,ma90,none,256,21,1118.9383597883598,1209.3400197206697,,,0.5595238095238095,0.54534533474758,,0.4023809523809524,0.0,20
bci,ma90,none,256,63,1234.9423104056436,1408.5465637777481,,,0.6148972157168878,0.5775980538319889,,0.4793650793650793,0.0,20
bci,ma90,none,256,64,1241.5682638888889,1417.4193262963595,,,0.6146673387096774,0.5802652779909698,,0.48046875,0.0,20
bci,naive,none,128,5,342.58,383.8850975702586,,,0.0,0.147498199246736,,0.5,0.0,20
bci,naive,none,128,21,899.3,1020.3520458340157,,,0.0,0.43096856573419895,,0.5,0.0,20
bci,naive,none,128,63,1226.8261904761905,1417.0673889220461,,,0.0,0.5291309712218919,,0.5,0.0,20
bci,naive,none,128,64,1231.7359375,1424.1789708894776,,,0.0,0.5318393391449696,,0.5,0.0,20
bci,naive,none,256,5,342.58,383.8850975702586,,,0.0,0.147498199246736,,0.5,0.0,20
bci,naive,none,256,21,899.3,1020.3520458340157,,,0.0,0.43096856573419895,,0.5,0.0,20
bci,naive,none,256,63,1226.8261904761905,1417.0673889220461,,,0.0,0.5291309712218919,,0.5,0.0,20
bci,naive,none,256,64,1231.7359375,1424.1789708894776,,,0.0,0.5318393391449696,,0.5,0.0,20
bdi,ar1,none,128,5,161.02,183.55894488647294,11.114835614338816,10.892353629888673,0.6599999999999999,0.11004844779298181,0.2362910536803734,0.54,0.0,20
bdi,ar1,none,128,21,659.7761904761904,779.0601977613276,51.08727084557527,43.58619871576832,0.6119047619047618,0.36494067897682525,0.07993326597480693,0.38571428571428573,0.0,20
