target,model,covariates,context,horizon,mae,rmse,mape,smape,dir_acc,mae_logret,spearman_ic,win_rate_vs_naive,runtime_s,n_origins
bdi,ar1,none,128,63,1832.0873015873017,2118.643765882967,134.58433918798497,72.2359003776256,0.5547619047619048,0.5823744995973248,0.14051916139090098,0.25753968253968257,0.0,20
bdi,ar1,none,128,64,1858.92109375,2149.3527858428124,136.26616451627325,72.62389233797421,0.553125,0.585640853146688,0.13879846201515283,0.255859375,0.0,20
bdi,ar1,none,256,5,161.02,183.55894488647294,11.114835614338816,10.892353629888673,0.6599999999999999,0.11004844779298181,0.2362910536803734,0.54,0.0,20
bdi,ar1,none,256,21,659.7761904761904,779.0601977613276,51.08727084557527,43.58619871576832,0.6119047619047618,0.36494067897682525,0.07993326597480693,0.38571428571428573,0.0,20
bdi,ar1,none,256,63,1832.0873015873017,2118.643765882967,134.58433918798497,72.2359003776256,0.5547619047619048,0.5823744995973248,0.14051916139090098,0.25753968253968257,0.0,20
bdi,ar1,none,256,64,1858.92109375,2149.3527858428124,136.26616451627325,72.62389233797421,0.553125,0.585640853146688,0.13879846201515283,0.255859375,0.0,20
bdi,drift,none,128,5,499.1129049739059,509.2947173391349,33.967340222222056,33.517706524159,0.42000000000000004,0.34523775338744456,0.02107202341170869,0.09,0.0,20
bdi,drift,none,128,21,615.8692103258169,658.5525804444119,42.69310073441219,41.03304661972109,0.3976190476190476,0.4540307781198358,-0.04507772028085162,0.21904761904761902,0.0,20
bdi,drift,none,128,63,731.0953960197198,804.9945127485389,48.72512232689377,46.168025208230404,0.5,0.49441269869993965,-0.014181025651493895,0.3222222222222222,0.0,20
bdi,drift,none,128,64,734.5382763323166,809.2417098771567,48.82995782672075,46.255757403258706,0.5,0.4953281468835124,-0.007715372852978608,0.3234375,0.0,20
bdi,drift,none,256,5,594.1257005750743,601.5544684453881,40.56014483700069,36.46333624998251,0.52,0.3828926606901891,0.0310720234117087,0.09,0.0,20
bdi,drift,none,256,21,620.0147397383078,656.0168192343252,45.939061313754664,38.11356637767029,0.5238095238095238,0.4025172543525802,0.10950640843690311,0.26904761904761904,0.0,20
bdi,drift,none,256,63,705.8772515146624,772.2547509876762,50.16482260013007,42.07425436833846,0.5912698412698413,0.4566076885411925,0.20735865106342657,0.34365079365079365,0.0,20
bdi,drift,none,256,64,710.508010944027,777.9329556345872,50.34360357933285,42.2808762094574,0.59296875,0.45952620303449054,0.20331374201414348,0.34453125,0.0,20
bdi,hist_mean,none,128,5,593.188125,599.2253776147193,37.935930677010994,33.54066222368158,0.48,0.34553721709564,,0.1,0.0,20
bdi,hist_mean,none,128,21,588.3589657738096,622.8161901263522,42.70463194823681,34.43865229548896,0.5261904761904762,0.3568504935490076,,0.28809523809523807,0.0,20
bdi,hist_mean,none,128,63,637.9743799603175,704.3481046440431,44.79933896278613,36.12903743807728,0.5261904761904762,0.3760379085588038,,0.34206349206349207,0.0,20
bdi,hist_mean,none,128,64,641.1497314453125,708.6742642089664,44.87877857094582,36.24629717681305,0.5265625,0.3772909269526111,,0.3421875,0.0,20
bdi,hist_mean,none,256,5,710.5224218750001,715.2726463977313,42.38989624144708,38.107333339403084,0.49000000000000005,0.3913223166275611,,0.1,0.0,20
bdi,hist_mean,none,256,21,676.0093005952381,717.1516387775984,46.24936458494133,37.925062785781925,0.5428571428571429,0.3923016254061555,,0.2761904761904762,0.0,20
bdi,hist_mean,none,256,63,716.9821056547619,791.5242402490554,48.22367161032783,39.87848832386736,0.5063492063492063,0.4144481961376356,,0.3087301587301587,0.0,20
bdi,hist_mean,none,256,64,719.6324645996094,794.7046292017124,48.26788294320676,39.97620843652179,0.50625,0.4154577259842406,,0.30859375,0.0,20
bdi,ma90,none,128,5,544.6966666666667,550.5855424368467,35.289250054518746,31.178621537666157,0.47000000000000003,0.32027209006271845,,0.1,0.0,20
bdi,ma90,none,128,21,578.53708994709,614.1234990604156,41.516072981041596,33.634996571506065,0.48571428571428565,0.3476464845040584,,0.25,0.0,20
bdi,ma90,none,128,63,630.1927160493827,697.6992252268201,43.60749990459239,35.4466928760221,0.5523809523809524,0.36801382645401615,,0.3706349206349206,0.0,20
bdi,ma90,none,128,64,633.0834201388889,701.7533553301375,43.681151905395964,35.55302415695018,0.553125,0.369153509867142,,0.37109375,0.0,20
bdi,ma90,none,256,5,544.6966666666667,550.5855424368467,35.289250054518746,31.178621537666157,0.47000000000000003,0.32027209006271845,,0.1,0.0,20
bdi,ma90,none,256,21,578.53708994709,614.1234990604156,41.516072981041596,33.634996571506065,0.48571428571428565,0.3476464845040584,,0.25,0.0,20
bdi,ma90,none,256,63,630.1927160493827,697.6992252268201,43.60749990459239,35.4466928760221,0.5523809523809524,0.36801382645401615,,0.3706349206349206,0.0,20
bdi,ma90,none,256,64,633.0834201388889,701.7533553301375,43.681151905395964,35.55302415695018,0.553125,0.369153509867142,,0.37109375,0.0,20
bdi,naive,none,128,5,130.44,146.28959963587926,7.67407976229282,7.317860218018116,0.0,0.07331345967211894,,0.5,0.0,20
bdi,naive,none,128,21,340.7761904761905,390.82626291352574,20.628521032562023,18.201642188518328,0.0,0.1838525210062104,,0.5,0.0,20
bdi,naive,none,128,63,517.4936507936508,602.5455644411182,31.23826270561105,27.102031754633494,0.0,0.2767371724304798,,0.5,0.0,20
bdi,naive,none,128,64,520.79453125,606.8117254616465,31.42599763761939,27.254278332533175,0.0,0.27842296166983876,,0.5,0.0,20
bdi,naive,none,256,5,130.44,146.28959963587926,7.67407976229282,7.317860218018116,0.0,0.07331345967211894,,0.5,0.0,20
bdi,naive,none,256,21,340.7761904761905,390.82626291352574,20.628521032562023,18.201642188518328,0.0,0.1838525210062104,,0.5,0.0,20
bdi,naive,none,256,63,517.4936507936508,602.5455644411182,31.23826270561105,27.102031754633494,0.0,0.2767371724304798,,0.5,0.0,20
bdi,naive,none,256,64,520.79453125,606.8117254616465,31.42599763761939,27.254278332533175,0.0,0.27842296166983876,,0.5,0.0,20
bdi,seasonal,none,128,5,850.8700000000001,859.570229812718,45.96841932142824,43.5077748590286,0.49000000000000005,0.45807945591281507,0.3201298917604257,0.13,0.0,20
bdi,seasonal,none,128,21,905.1071428571429,949.7458948548114,53.7655110829675,50.186101213908664,0.5261904761904762,0.5317494499378672,0.08163917958656462,0.20952380952380953,0.0,20
bdi,seasonal,none,128,63,999.1111111111111,1087.6505221759667,59.71373421317371,54.11462115223581,0.47619047619047616,0.5780792419902661,0.23205975476995722,0.2579365079365079,0.0,20
bdi,seasonal,none,128,64,997.36484375,1087.185312226979,59.51676652214951,53.95010991331727,0.478125,0.5762049832517795,0.23552410113620934,0.26015625,0.0,20
bdi,seasonal,none,256,5,850.8700000000001,859.570229812718,45.96841932142824,43.5077748590286,0.49000000000000005,0.45807945591281507,0.3201298917604257,0.13,0.0,20
bdi,seasonal,none,256,21,905.1071428571429,949.7458948548114,53.7655110829675,50.186101213908664,0.5261904761904762,0.5317494499378672,0.08163917958656462,0.20952380952380953,0.0,20
bdi,seasonal,none,256,63,999.1111111111111,1087.6505221759667,59.71373421317371,54.11462115223581,0.47619047619047616,0.5780792419902661,0.23205975476995722,0.2579365079365079,0.0,20
bdi,seasonal,none,256,64,997.36484375,1087.185312226979,59.51676652214951,53.95010991331727,0.478125,0.5762049832517795,0.23552410113620934,0.26015625,0.0,20
bdi,timesfm,targets_only,128,5,100.65980712890625,115.19679998536851,5.515358107279472,5.354974958750249,0.8,0.053602914154011125,0.3163959200363809,0.74,0.4391826748847961,20
bdi,timesfm,targets_only,128,21,304.1079620361328,354.45585844064243,18.345743940304544,17.143269687770477,0.7476190476190476,0.17442314197577077,0.25264304464989246,0.7047619047619047,0.38777636289596557,20
bdi,timesfm,targets_only,128,63,491.1914854019407,581.5382176628513,29.894843099281495,28.59431924617208,0.6746031746031746,0.2601397513391425,0.07551923506660721,0.6198412698412699,0.3596459746360779,20
bdi,timesfm,targets_only,128,64,495.71630373001096,587.009148389971,30.140609357892203,28.76712937716153,0.675,0.26156561670352146,0.06985215990193921,0.61953125,0.3793320178985596,20
bdi,timesfm,targets_only,256,5,97.13457458496093,109.74474733926529,5.881566234554408,5.669144365647854,0.75,0.05676390437954933,0.25892797658829125,0.7,0.3884136438369751,20
bdi,timesfm,targets_only,256,21,283.3702998570033,330.8939388292195,17.402532671743582,15.669640839711459,0.7023809523809523,0.15805619462762147,0.22838868208344,0.6309523809523809,0.4118825554847717,20
bdi,timesfm,targets_only,256,63,486.37202753945,579.4381184242886,28.41050105755283,25.632223210278738,0.5952380952380952,0.2612741692363763,0.004417543234986404,0.523015873015873,0.4193109154701233,20
bdi,timesfm,targets_only,256,64,491.2391872882843,585.5055079492181,28.671312286016878,25.844083105107092,0.59453125,0.26355043704711506,0.0009173329186995926,0.521875,0.4045680522918701,20
bdi,timesfm,with_cov,128,5,94.59007019042969,107.84343858847713,5.163461097428319,5.054418317342579,0.79,0.05059077565780447,0.36555245637000555,0.71,0.8375312447547912,20
bdi,timesfm,with_cov,128,21,288.66238941010977,343.1309020930664,16.65346227510796,15.684284256814866,0.6904761904761905,0.15842421112026758,0.011824629487563692,0.6535714285714286,0.8297176241874695,20
bdi,timesfm,with_cov,128,63,497.81879514663933,592.1335380118002,28.97376492271976,27.426128609458935,0.6079365079365079,0.28287283814449876,0.01328431061952988,0.5642857142857143,0.8184218168258667,20
bdi,timesfm,with_cov,128,64,489.8356077194214,584.8841505700225,28.35719294885854,26.893910908591437,0.6140625,0.28122216689979124,0.07765566870066928,0.565625,0.835979676246643,20
bdi,timesfm,with_cov,256,5,96.86360839843749,111.34334887748157,5.399521522075089,5.259063119591781,0.8099999999999999,0.05264008928191873,0.4950328893283024,0.73,1.1426329016685486,20
bdi,timesfm,with_cov,256,21,287.10606587727864,336.4631406853834,17.093736813304858,15.485777261039178,0.7142857142857142,0.1562240071178139,0.14473614050216516,0.6690476190476191,1.2291077852249146,20
bdi,timesfm,with_cov,256,63,525.9496210491847,621.3057712458898,29.889417016768665,26.889119537692967,0.5912698412698412,0.27426197044581346,-0.09662043446025562,0.5404761904761906,1.2004565477371216,20
bdi,timesfm,with_cov,256,64,521.8912550449371,617.0433659774983,29.577611562413967,26.712311068008784,0.596875,0.27247632317804626,-0.06745824760933088,0.5453125,1.1755319714546204,20
