post_id,title,date,year,week,broker,post_url,pdf_url,has_pdf,local_path,file_size_bytes,download_status
1146936,"Affinity Tanker Weekly, 4 September 2026",2026-09-05,2026,,Affinity Research,https://www.hellenicshippingnews.com/affinity-tanker-weekly-4-september-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Affinity-Tanker-Weekly-04.09.2026-HSN.pdf,True,reports/shipbrokers\affinity\2026\affinity_2026_Affinity-Tanker-Weekly-04.09.2026-HSN.pdf,273523.0,cached
1146875,Advanced Shipping &#038; Trading – WEEKLY SHIPPING MARKET REPORT WEEK 36 2026,2026-09-05,2026,W36,Advanced Shipping & Trading,https://www.hellenicshippingnews.com/advanced-shipping-trading-weekly-shipping-market-report-week-36-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/ADVANCED-MARKET-REPORT-WEEK-36.pdf,True,reports/shipbrokers\advanced_shipping\2026\advanced_shipping_2026_W36_ADVANCED-MARKET-REPORT-WEEK-36.pdf,1005311.0,cached
1146878,Gibson tanker report – The 65 Billion Barrel Deal,2026-09-05,2026,,Lion Shipbrokers,https://www.hellenicshippingnews.com/gibson-tanker-report-the-65-billion-barrel-deal/,,False,,0.0,no_pdf_published
1146885,CLARKSONS HELLAS – SnP WEEKLY,2026-09-04,2026,,Clarksons Hellas,https://www.hellenicshippingnews.com/clarksons-hellas-snp-weekly-8/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Weekly-Sales-04th-Sept-2026.pdf,True,reports/shipbrokers\clarksons\2026\clarksons_2026_Weekly-Sales-04th-Sept-2026.pdf,193934.0,cached
1146880,Agora Shipbroking Corporation: Snapshot of Commercial Indicators Report – Week 36 2026,2026-09-04,2026,W36,Agora Shipbroking,https://www.hellenicshippingnews.com/agora-shipbroking-corporation-snapshot-of-commercial-indicators-report-week-36-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/AGORA.-Week-36-2026.-Snapshot-of-Commercial-Indicators.pdf,True,reports/shipbrokers\agora\2026\agora_2026_W36_AGORA.-Week-36-2026.-Snapshot-of-Commercial-Indicators.pdf,1122808.0,cached
1146888,"Lion Shipbrokers Weekly Market Report, Week 36 2026",2026-09-04,2026,W36,Lion Shipbrokers,https://www.hellenicshippingnews.com/lion-shipbrokers-weekly-market-report-week-36-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Lion-Weekly-Report-04-September-2026-W36.pdf,True,reports/shipbrokers\lion\2026\lion_2026_W36_Lion-Weekly-Report-04-September-2026-W36.pdf,1864507.0,cached
1146556,Fearnleys Week 36 2026,2026-09-03,2026,W36,Fearnleys,https://www.hellenicshippingnews.com/fearnleys-week-36-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Fearnleys-Weekly-Report-_-Fearnpulse_.pdf,True,reports/shipbrokers\fearnleys\2026\fearnleys_2026_W36_Fearnleys-Weekly-Report-_-Fearnpulse_.pdf,466983.0,cached
1146293,"Banchero Costa Weekly Market Report, Week 35 2026",2026-09-02,2026,W35,Banchero Costa,https://www.hellenicshippingnews.com/banchero-costa-weekly-market-report-week-35-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Bancosta-Weekly-2026-35.pdf,True,reports/shipbrokers\banchero_costa\2026\banchero_costa_2026_W35_Bancosta-Weekly-2026-35.pdf,921855.0,cached
1146404,Intermodal Weekly Market Report Week 35 2026 Broker’s Insight,2026-09-02,2026,W35,Intermodal Shipbrokers,https://www.hellenicshippingnews.com/intermodal-weekly-market-report-week-35-2026-brokers-insight/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/Intermodal-Report-Week-35-2026.pdf,True,reports/shipbrokers\intermodal\2026\intermodal_2026_W35_Intermodal-Report-Week-35-2026.pdf,1303992.0,cached
1146407,"Carriers Sales &#038; Purchase Market Report, Week 35",2026-09-01,2026,W35,Carriers Chartering,https://www.hellenicshippingnews.com/carriers-sales-purchase-market-report-week-35-3/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/WK-35-26-CARRIERS_SP-MARKET-REPORT.pdf,True,reports/shipbrokers\carriers\2026\carriers_2026_W35_WK-35-26-CARRIERS_SP-MARKET-REPORT.pdf,319400.0,cached
1146265,SSY PACIFIC CAPESIZE INDEX 31 AUGUST 2026,2026-09-01,2026,,Simpson Spence Young (SSY),https://www.hellenicshippingnews.com/ssy-pacific-capesize-index-31-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/20260828-Pacific-Capesize-Report.pdf,True,reports/shipbrokers\ssy\2026\ssy_2026_20260828-Pacific-Capesize-Report.pdf,187742.0,cached
1146266,SSY ATLANTIC CAPESIZE INDEX 31 AUGUST 2026,2026-09-01,2026,,Simpson Spence Young (SSY),https://www.hellenicshippingnews.com/ssy-atlantic-capesize-index-31-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/20260828-Atlantic-Capesize-Report.pdf,True,reports/shipbrokers\ssy\2026\ssy_2026_20260828-Atlantic-Capesize-Report.pdf,188134.0,cached
1146174,Xclusiv Shipbrokers Weekly 31st August 2026,2026-09-01,2026,,Xclusiv Shipbrokers,https://www.hellenicshippingnews.com/xclusiv-shipbrokers-weekly-31st-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/xclusiv-2026_08_31.pdf,True,reports/shipbrokers\xclusiv\2026\xclusiv_2026_xclusiv-2026_08_31.pdf,1746032.0,cached
1146096,ISM coasters and mini bulkers – Week 35,2026-08-31,2026,W35,ISM (Intership Navigation),https://www.hellenicshippingnews.com/ism-coasters-and-mini-bulkers-week-35-2/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/ISM_Handy_week35.pdf,True,reports/shipbrokers\ism\2026\ism_2026_W35_ISM_Handy_week35.pdf,205279.0,cached
1146106,Star Asia Shipbroking Weekly Market Report – WEEK 35,2026-08-31,2026,W35,Star Asia Shipbroking,https://www.hellenicshippingnews.com/star-asia-shipbroking-weekly-market-report-week-35-5/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Market-Report-Week-35.pdf,True,reports/shipbrokers\star_asia\2026\star_asia_2026_W35_Market-Report-Week-35.pdf,686078.0,cached
1145958,Agora Shipbroking Corporation: Snapshot of Commercial Indicators Report – Week 34 2026,2026-08-29,2026,W34,Agora Shipbroking,https://www.hellenicshippingnews.com/agora-shipbroking-corporation-snapshot-of-commercial-indicators-report-week-34-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/AGORA.-Week-35-2026.-Snapshot-of-Commercial-Indicators.pdf,True,reports/shipbrokers\agora\2026\agora_2026_W34_AGORA.-Week-35-2026.-Snapshot-of-Commercial-Indicators.pdf,1038797.0,cached
1145961,CLARKSONS HELLAS – SnP WEEKLY,2026-08-29,2026,,Clarksons Hellas,https://www.hellenicshippingnews.com/clarksons-hellas-snp-weekly-7/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Weekly-Sales-28th-Aug-2026.pdf,True,reports/shipbrokers\clarksons\2026\clarksons_2026_Weekly-Sales-28th-Aug-2026.pdf,191760.0,cached
1145957,Gibson tanker report – No Margin for Error,2026-08-29,2026,,Gibson Shipbrokers,https://www.hellenicshippingnews.com/gibson-tanker-report-no-margin-for-error/,,False,,0.0,no_pdf_published
1145955,Advanced Shipping &#038; Trading – WEEKLY SHIPPING MARKET REPORT WEEK 35 2026,2026-08-29,2026,W35,Advanced Shipping & Trading,https://www.hellenicshippingnews.com/advanced-shipping-trading-weekly-shipping-market-report-week-35-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/ADVANCED-MARKET-REPORT-WEEK-35.pdf,True,reports/shipbrokers\advanced_shipping\2026\advanced_shipping_2026_W35_ADVANCED-MARKET-REPORT-WEEK-35.pdf,1009463.0,cached
1145951,"Affinity Tanker Weekly, 28 August 2026",2026-08-29,2026,,Affinity Research,https://www.hellenicshippingnews.com/affinity-tanker-weekly-28-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Affinity-Tanker-Weekly-28.08.2026-HSN.pdf,True,reports/shipbrokers\affinity\2026\affinity_2026_Affinity-Tanker-Weekly-28.08.2026-HSN.pdf,272248.0,cached
1146882,Agora Shipbroking Corporation: Snapshot of Commercial Indicators Report – Week 35 2026,2026-08-28,2026,W35,Agora Shipbroking,https://www.hellenicshippingnews.com/agora-shipbroking-corporation-snapshot-of-commercial-indicators-report-week-35-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/09/AGORA.-Week-35-2026.-Snapshot-of-Commercial-Indicators.pdf,True,reports/shipbrokers\agora\2026\agora_2026_W35_AGORA.-Week-35-2026.-Snapshot-of-Commercial-Indicators.pdf,1038797.0,cached
1145635,Fearnleys Week 35 2026,2026-08-27,2026,W35,Fearnleys,https://www.hellenicshippingnews.com/fearnleys-week-35-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Fearnleys-Weekly-Report-_-Fearnpulse-3.pdf,True,reports/shipbrokers\fearnleys\2026\fearnleys_2026_W35_Fearnleys-Weekly-Report-_-Fearnpulse-3.pdf,488506.0,cached
1145520,Intermodal Weekly Market Report Week 34 2026 Broker’s Insight,2026-08-26,2026,W34,Intermodal Shipbrokers,https://www.hellenicshippingnews.com/intermodal-weekly-market-report-week-34-2026-brokers-insight/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Intermodal-Report-Week-34-2026.pdf,True,reports/shipbrokers\intermodal\2026\intermodal_2026_W34_Intermodal-Report-Week-34-2026.pdf,1266443.0,cached
1145523,"Banchero Costa Weekly Market Report, Week 34 2026",2026-08-26,2026,W34,Banchero Costa,https://www.hellenicshippingnews.com/banchero-costa-weekly-market-report-week-34-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Bancosta-Weekly-2026-34.pdf,True,reports/shipbrokers\banchero_costa\2026\banchero_costa_2026_W34_Bancosta-Weekly-2026-34.pdf,1158732.0,cached
1145244,Xclusiv Shipbrokers Weekly 24th August 2026,2026-08-25,2026,,Xclusiv Shipbrokers,https://www.hellenicshippingnews.com/xclusiv-shipbrokers-weekly-24th-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/xclusiv-2026_08_24.pdf,True,reports/shipbrokers\xclusiv\2026\xclusiv_2026_xclusiv-2026_08_24.pdf,1784883.0,cached
1145240,Agora Shipbroking Corporation: Snapshot of Commercial Indicators Report – Week 33 2026,2026-08-24,2026,W33,Agora Shipbroking,https://www.hellenicshippingnews.com/agora-shipbroking-corporation-snapshot-of-commercial-indicators-report-week-33-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/AGORA.-Week-33-2026.-Snapshot-of-Commercial-Indicators.pdf,True,reports/shipbrokers\agora\2026\agora_2026_W33_AGORA.-Week-33-2026.-Snapshot-of-Commercial-Indicators.pdf,1123421.0,cached
1145238,"Carriers Sales &#038; Purchase Market Report, Week 34",2026-08-24,2026,W34,Carriers Chartering,https://www.hellenicshippingnews.com/carriers-sales-purchase-market-report-week-34-2/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/WK-34-26-CARRIERS_SP-MARKET-REPORT.pdf,True,reports/shipbrokers\carriers\2026\carriers_2026_W34_WK-34-26-CARRIERS_SP-MARKET-REPORT.pdf,308434.0,cached
1145212,SSY PACIFIC CAPESIZE INDEX 24 AUGUST 2026,2026-08-24,2026,,Simpson Spence Young (SSY),https://www.hellenicshippingnews.com/ssy-pacific-capesize-index-24-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/20260821-Pacific-Capesize-Report.pdf,True,reports/shipbrokers\ssy\2026\ssy_2026_20260821-Pacific-Capesize-Report.pdf,187118.0,cached
1145213,SSY ATLANTIC CAPESIZE INDEX 24 AUGUST 2026,2026-08-24,2026,,Simpson Spence Young (SSY),https://www.hellenicshippingnews.com/ssy-atlantic-capesize-index-24-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/20260821-Atlantic-Capesize-Report.pdf,True,reports/shipbrokers\ssy\2026\ssy_2026_20260821-Atlantic-Capesize-Report.pdf,187696.0,cached
1145169,Star Asia Shipbroking Weekly Market Report – WEEK 34,2026-08-24,2026,W34,Star Asia Shipbroking,https://www.hellenicshippingnews.com/star-asia-shipbroking-weekly-market-report-week-34-4/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Market-Report-Week-34.pdf,True,reports/shipbrokers\star_asia\2026\star_asia_2026_W34_Market-Report-Week-34.pdf,660098.0,cached
1145056,Gibson tanker report – Crossed Wakes,2026-08-22,2026,,Gibson Shipbrokers,https://www.hellenicshippingnews.com/gibson-tanker-report-crossed-wakes/,,False,,0.0,no_pdf_published
1145057,"Affinity Tanker Weekly, 21 August 2026",2026-08-22,2026,,Affinity Research,https://www.hellenicshippingnews.com/affinity-tanker-weekly-21-august-2026/,https://www.hellenicshippingnews.com/wp-content/uploads/2026/08/Affinity-Tanker-Weekly-21.08.2026-HSN.pdf,True,reports/shipbrokers\affinity\2026\affinity_2026_Affinity-Tanker-Weekly-21.08.2026-HSN.pdf,272766.0,cached
