user_ticker,target_symbol,sector,company_name,is_sec
BWET,BWET,Tankers ETF,Amplify Breakwave Tanker ETF,True
GRIN,GRIN,Dry Bulk,Grindrod Shipping Holdings Ltd.,True
EDRY,EDRY,Dry Bulk,EuroDry Ltd.,True
SHLF,SHLF.OL,Offshore Rigs,"Shelf Drilling, Ltd.",False
GOGL,0001029145,Dry Bulk,Golden Ocean Group Limited,True
GLBS,GLBS,Dry Bulk,Globus Maritime Limited,True
TORO,TORO,Tankers,Toro Corp.,True
BDIY,,Freight Benchmark,Baltic Dry Index (Non-equity),False
CCORB,CCOR-B.ST,Tankers,Concordia Maritime AB,False
LPG,LPG,LPG Gas,Dorian LPG Ltd.,True
PXS,PXS,Tankers,Pyxis Tankers Inc.,True
USEA,USEA,Dry Bulk,United Maritime Corporation,True
RHB,SHIP,Dry Bulk,Seanergy Maritime Holdings Corp.,True
LIND,LIND,Cruise / Expeditions,"Lindblad Expeditions Holdings, Inc.",True
SB,SB,Dry Bulk,"Safe Bulkers, Inc.",True
BDRY,BDRY,Dry Bulk ETF,Amplify Breakwave Dry Bulk ETF,True
CLCO,CLCO.OL,LNG Gas,Cool Company Ltd.,False
INSW,INSW,Tankers,"International Seaways, Inc.",True
CMBT,CMBT,Diversified / Hydrogen,CMB.TECH NV,True
OET,ECO,Tankers,Okeanis Eco Tankers Corp.,True
DAC,DAC,Containers,Danaos Corporation,True
MATX,MATX,Containers / Logistics,"Matson, Inc.",True
BWLPG,BWLP,LPG Gas,BW LPG Limited,True
SUBC,SUBC.OL,Offshore Subsea,Subsea 7 S.A.,False
SHIP,SHIP,Dry Bulk,Seanergy Maritime Holdings Corp.,True
SMHI,SMHI,Offshore Support,SEACOR Marine Holdings Inc.,True
IMPP,IMPP,Tankers,Imperial Petroleum Inc.,True
FRO,FRO,Tankers,Frontline plc,True
SBLK,SBLK,Dry Bulk,Star Bulk Carriers Corp.,True
DNORD,DNORD.CO,Dry Bulk / Tankers,Dampskibsselskabet Norden A/S,False
HAUTO,HAUTO.OL,Car Carriers / RoRo,Hoegh Autoliners ASA,False
NAT,NAT,Tankers,Nordic American Tankers Limited,True
HSHP,HSHP,Dry Bulk,Himalaya Shipping Ltd.,True
WAWI,WAWI.OL,Car Carriers / RoRo,Wallenius Wilhelmsen ASA,False
TGS,TGS.OL,Offshore Seismic,TGS ASA,False
