date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2018-03-23,0.0,24.83,-0.019738,0.0,0.0,0.0
2018-03-26,1219000.0,24.38,-0.017965,1219000.0,1219000.0,0.0
2018-03-27,0.0,23.37,-0.041492,1219000.0,0.0,0.0
2018-03-28,0.0,22.91,-0.01944,1219000.0,0.0,0.0
2018-03-29,0.0,22.54,-0.016361,1219000.0,0.0,0.0
2018-04-02,0.0,22.54,-3.1e-05,1219000.0,0.0,0.0
2018-04-03,0.0,20.67,-0.082777,1219000.0,0.0,0.0
2018-04-04,0.0,19.24,-0.06922,1219000.0,0.0,0.0
2018-04-05,1016000.0,20.32,0.056028,2235000.0,1016000.0,0.0
2018-04-06,0.0,20.51,0.00935,2235000.0,0.0,0.0
2018-04-09,0.0,21.29,0.037806,2235000.0,0.0,0.0
2018-04-10,0.0,21.65,0.01703,2235000.0,0.0,0.0
2018-04-11,0.0,20.93,-0.033014,2235000.0,0.0,0.0
2018-04-12,0.0,21.96,0.048955,2235000.0,0.0,0.0
2018-04-13,0.0,21.94,-0.001034,2235000.0,0.0,0.0
2018-04-16,0.0,20.84,-0.049969,2235000.0,0.0,0.0
2018-04-17,0.0,21.52,0.032453,2235000.0,0.0,0.0
2018-04-18,0.0,22.59,0.050024,2235000.0,0.0,0.0
2018-04-19,0.0,22.75,0.007157,2235000.0,0.0,0.0
2018-04-20,0.0,22.8,0.002197,2235000.0,0.0,0.0
2018-04-23,0.0,22.81,0.000259,2235000.0,0.0,0.0
2018-04-24,0.0,23.08,0.011982,2235000.0,0.0,0.0
2018-04-25,0.0,22.59,-0.02128,2235000.0,0.0,0.0
2018-04-26,0.0,22.27,-0.014395,2235000.0,0.0,0.0
2018-04-27,0.0,22.23,-0.001801,2235000.0,0.0,0.0
2018-04-30,0.0,22.24,0.000733,2235000.0,0.0,0.0
2018-05-01,0.0,22.06,-0.00834,2235000.0,0.0,0.0
2018-05-02,0.0,22.78,0.032933,2235000.0,0.0,0.0
2018-05-03,0.0,22.83,0.00219,2235000.0,0.0,0.0
2018-05-04,0.0,22.62,-0.009486,2235000.0,0.0,0.0
2018-05-07,0.0,22.62,-1.8e-05,2235000.0,0.0,0.0
2018-05-08,0.0,23.35,0.032242,2235000.0,0.0,0.0
2018-05-09,0.0,23.5,0.006425,2235000.0,0.0,0.0
2018-05-10,0.0,23.49,-0.000115,2235000.0,0.0,0.0
2018-05-11,0.0,23.81,0.013502,2235000.0,0.0,0.0
2018-05-14,-1144000.0,22.88,-0.039134,1091000.0,0.0,-1144000.0
2018-05-15,0.0,21.93,-0.041519,1091000.0,0.0,0.0
2018-05-16,0.0,21.53,-0.018328,1091000.0,0.0,0.0
2018-05-17,0.0,21.2,-0.014977,1091000.0,0.0,0.0
