Date,Index,% Change
06-10-2008,"4,310",
07-10-2008,"4,279",-0.72%
08-10-2008,"4,057",-5.19%
09-10-2008,"3,548",-12.55%
10-10-2008,"3,087",-12.99%
13-10-2008,"2,696",-12.67%
14-10-2008,"2,414",-10.46%
15-10-2008,"1,992",-17.48%
16-10-2008,"1,842",-7.53%
17-10-2008,"1,776",-3.58%
20-10-2008,"1,674",-5.74%
21-10-2008,"1,605",-4.12%
22-10-2008,"1,572",-2.06%
23-10-2008,"1,525",-2.99%
24-10-2008,"1,504",-1.38%
27-10-2008,"1,456",-3.19%
28-10-2008,"1,400",-3.85%
29-10-2008,"1,345",-3.93%
30-10-2008,"1,307",-2.83%
31-10-2008,"1,265",-3.21%
03-11-2008,"1,233",-2.53%
04-11-2008,"1,211",-1.78%
05-11-2008,"1,185",-2.15%
06-11-2008,"1,162",-1.94%
07-11-2008,"1,120",-3.61%
10-11-2008,"1,095",-2.23%
11-11-2008,"1,065",-2.74%
12-11-2008,"1,048",-1.60%
13-11-2008,"1,040",-0.76%
14-11-2008,"1,016",-2.31%
17-11-2008,"1,002",-1.38%
18-11-2008,994,-0.80%
19-11-2008,989,-0.50%
20-11-2008,976,-1.31%
21-11-2008,967,-0.92%
24-11-2008,955,-1.24%
25-11-2008,932,-2.41%
26-11-2008,883,-5.26%
27-11-2008,858,-2.83%
28-11-2008,838,-2.33%
01-12-2008,833,-0.60%
02-12-2008,830,-0.36%
03-12-2008,830,0.00%
04-12-2008,839,1.08%
05-12-2008,871,3.81%
08-12-2008,938,7.69%
09-12-2008,991,5.65%
10-12-2008,"1,058",6.76%
11-12-2008,"1,142",7.94%
12-12-2008,"1,331",16.55%
15-12-2008,"1,454",9.24%
16-12-2008,"1,514",4.13%
17-12-2008,"1,515",0.07%
18-12-2008,"1,476",-2.57%
19-12-2008,"1,423",-3.59%
22-12-2008,"1,373",-3.51%
23-12-2008,"1,345",-2.04%
24-12-2008,"1,337",-0.59%
02-01-2009,"1,361",1.80%
05-01-2009,"1,386",1.84%
06-01-2009,"1,406",1.44%
07-01-2009,"1,452",3.27%
08-01-2009,"1,564",7.71%
09-01-2009,"1,728",10.49%
12-01-2009,"1,788",3.47%
13-01-2009,"1,864",4.25%
14-01-2009,"1,888",1.29%
15-01-2009,"1,805",-4.40%
16-01-2009,"1,760",-2.49%
19-01-2009,"1,709",-2.90%
20-01-2009,"1,719",0.59%
21-01-2009,"1,800",4.71%
22-01-2009,"1,939",7.72%
23-01-2009,"2,032",4.80%
26-01-2009,"2,049",0.84%
27-01-2009,"2,035",-0.68%
28-01-2009,"2,006",-1.43%
29-01-2009,"1,972",-1.69%
30-01-2009,"1,981",0.46%
02-02-2009,"2,004",1.16%
03-02-2009,"2,093",4.44%
04-02-2009,"2,380",13.71%
05-02-2009,"2,734",14.87%
06-02-2009,"2,999",9.69%
09-02-2009,"3,344",11.50%
10-02-2009,"3,626",8.43%
11-02-2009,"3,822",5.41%
12-02-2009,"3,567",-6.67%
13-02-2009,"3,335",-6.50%
16-02-2009,"3,170",-4.95%
17-02-2009,"3,356",5.87%
18-02-2009,"3,587",6.88%
19-02-2009,"3,733",4.07%
20-02-2009,"3,768",0.94%
23-02-2009,"3,649",-3.16%
24-02-2009,"3,362",-7.87%
25-02-2009,"3,124",-7.08%
26-02-2009,"2,963",-5.15%
27-02-2009,"2,963",0.00%
02-03-2009,"2,921",-1.42%
03-03-2009,"2,862",-2.02%
04-03-2009,"2,818",-1.54%
05-03-2009,"2,830",0.43%
06-03-2009,"2,839",0.32%
09-03-2009,"2,831",-0.28%
10-03-2009,"2,807",-0.85%
11-03-2009,"2,706",-3.60%
12-03-2009,"2,580",-4.66%
13-03-2009,"2,454",-4.88%
16-03-2009,"2,365",-3.63%
17-03-2009,"2,251",-4.82%
18-03-2009,"2,157",-4.18%
19-03-2009,"2,154",-0.14%
20-03-2009,"2,197",2.00%
23-03-2009,"2,215",0.82%
24-03-2009,"2,195",-0.90%
25-03-2009,"2,169",-1.18%
26-03-2009,"2,134",-1.61%
27-03-2009,"2,092",-1.97%
30-03-2009,"2,078",-0.67%
31-03-2009,"2,066",-0.58%
01-04-2009,"2,039",-1.31%
02-04-2009,"2,001",-1.86%
03-04-2009,"1,962",-1.95%
06-04-2009,"1,961",-0.05%
07-04-2009,"1,972",0.56%
08-04-2009,"1,993",1.06%
09-04-2009,"2,024",1.56%
14-04-2009,"2,033",0.44%
15-04-2009,"2,077",2.16%
16-04-2009,"2,140",3.03%
17-04-2009,"2,209",3.22%
20-04-2009,"2,285",3.44%
21-04-2009,"2,393",4.73%
22-04-2009,"2,501",4.51%
23-04-2009,"2,539",1.52%
24-04-2009,"2,494",-1.77%
27-04-2009,"2,443",-2.04%
28-04-2009,"2,364",-3.23%
29-04-2009,"2,342",-0.93%
30-04-2009,"2,348",0.26%
01-05-2009,"2,376",1.19%
05-05-2009,"2,528",6.40%
06-05-2009,"2,868",13.45%
07-05-2009,"3,046",6.21%
08-05-2009,"2,963",-2.72%
11-05-2009,"2,913",-1.69%
12-05-2009,"2,988",2.57%
13-05-2009,"3,129",4.72%
14-05-2009,"3,282",4.89%
15-05-2009,"3,481",6.06%
18-05-2009,"3,600",3.42%
19-05-2009,"3,661",1.69%
20-05-2009,"3,767",2.90%
21-05-2009,"3,991",5.95%
22-05-2009,"4,343",8.82%
26-05-2009,"4,797",10.45%
27-05-2009,"5,308",10.65%
28-05-2009,"5,602",5.54%
29-05-2009,"6,125",9.34%
01-06-2009,"6,549",6.92%
02-06-2009,"7,724",17.94%
03-06-2009,"8,147",5.48%
04-06-2009,"7,561",-7.19%
05-06-2009,"6,812",-9.91%
08-06-2009,"6,523",-4.24%
09-06-2009,"6,382",-2.16%
10-06-2009,"6,354",-0.44%
11-06-2009,"6,465",1.75%
12-06-2009,"6,715",3.87%
15-06-2009,"7,227",7.62%
16-06-2009,"7,648",5.83%
17-06-2009,"7,825",2.31%
18-06-2009,"7,980",1.98%
19-06-2009,"7,996",0.20%
22-06-2009,"7,909",-1.09%
23-06-2009,"7,441",-5.92%
24-06-2009,"7,115",-4.38%
25-06-2009,"7,034",-1.14%
26-06-2009,"7,106",1.02%
29-06-2009,"7,216",1.55%
30-06-2009,"7,241",0.35%
01-07-2009,"7,122",-1.64%
02-07-2009,"6,848",-3.85%
03-07-2009,"6,438",-5.99%
06-07-2009,"6,104",-5.19%
07-07-2009,"5,667",-7.16%
08-07-2009,"5,336",-5.84%
