Date,Index,% Change
06-10-2008,1123.0,0.00%
07-10-2008,1083.0,-3.56%
08-10-2008,1031.0,-4.80%
09-10-2008,973.0,-5.63%
10-10-2008,914.0,-6.06%
13-10-2008,884.0,-3.28%
14-10-2008,856.0,-3.17%
15-10-2008,823.0,-3.86%
16-10-2008,771.0,-6.32%
17-10-2008,732.0,-5.06%
20-10-2008,676.0,-7.65%
21-10-2008,625.0,-7.54%
22-10-2008,552.0,-11.68%
23-10-2008,481.0,-12.86%
24-10-2008,455.0,-5.41%
27-10-2008,419.0,-7.91%
28-10-2008,390.0,-6.92%
29-10-2008,368.0,-5.64%
30-10-2008,346.0,-5.98%
31-10-2008,329.0,-4.91%
03-11-2008,318.0,-3.34%
04-11-2008,312.0,-1.89%
05-11-2008,302.0,-3.21%
06-11-2008,299.0,-0.99%
07-11-2008,296.0,-1.00%
10-11-2008,292.0,-1.35%
11-11-2008,288.0,-1.37%
12-11-2008,284.0,-1.39%
13-11-2008,291.0,2.46%
14-11-2008,297.0,2.06%
17-11-2008,300.0,1.01%
18-11-2008,306.0,2.00%
19-11-2008,310.0,1.31%
20-11-2008,314.0,1.29%
21-11-2008,316.0,0.64%
24-11-2008,319.0,0.95%
25-11-2008,321.0,0.63%
26-11-2008,318.0,-0.93%
27-11-2008,316.0,-0.63%
28-11-2008,315.0,-0.32%
01-12-2008,314.0,-0.32%
02-12-2008,310.0,-1.27%
03-12-2008,307.0,-0.97%
04-12-2008,305.0,-0.65%
05-12-2008,300.0,-1.64%
08-12-2008,299.0,-0.33%
09-12-2008,298.0,-0.33%
10-12-2008,300.0,0.67%
11-12-2008,302.0,0.67%
12-12-2008,303.0,0.33%
15-12-2008,304.0,0.33%
16-12-2008,300.0,-1.32%
17-12-2008,299.0,-0.33%
18-12-2008,297.0,-0.67%
19-12-2008,292.0,-1.68%
22-12-2008,288.0,-1.37%
23-12-2008,284.0,-1.39%
24-12-2008,281.0,-1.06%
02-01-2009,279.0,-0.71%
05-01-2009,276.0,-1.08%
06-01-2009,274.0,-0.72%
07-01-2009,272.0,-0.73%
