Date,Index,% Change
05-12-2007,"1,537",
06-12-2007,"1,554",1.11%
07-12-2007,"1,635",5.21%
10-12-2007,"1,735",6.12%
11-12-2007,"1,917",10.49%
12-12-2007,"2,017",5.22%
13-12-2007,"2,060",2.13%
14-12-2007,"2,117",2.77%
17-12-2007,"2,225",5.10%
18-12-2007,"2,253",1.26%
19-12-2007,"2,279",1.15%
20-12-2007,"2,231",-2.11%
21-12-2007,"2,165",-2.96%
02-01-2008,"1,914",-11.59%
03-01-2008,"1,827",-4.55%
04-01-2008,"1,747",-4.38%
07-01-2008,"1,681",-3.78%
08-01-2008,"1,538",-8.51%
09-01-2008,"1,453",-5.53%
10-01-2008,"1,415",-2.62%
11-01-2008,"1,411",-0.28%
14-01-2008,"1,373",-2.69%
15-01-2008,"1,379",0.44%
16-01-2008,"1,367",-0.87%
17-01-2008,"1,320",-3.44%
18-01-2008,"1,310",-0.76%
21-01-2008,"1,290",-1.53%
22-01-2008,"1,261",-2.25%
23-01-2008,"1,223",-3.01%
24-01-2008,"1,218",-0.41%
25-01-2008,"1,194",-1.97%
28-01-2008,"1,197",0.25%
29-01-2008,"1,201",0.33%
30-01-2008,"1,203",0.17%
31-01-2008,"1,188",-1.25%
01-02-2008,"1,174",-1.18%
04-02-2008,"1,145",-2.47%
05-02-2008,"1,103",-3.67%
06-02-2008,"1,093",-0.91%
07-02-2008,"1,082",-1.01%
08-02-2008,"1,070",-1.11%
11-02-2008,"1,060",-0.93%
12-02-2008,"1,065",0.47%
13-02-2008,"1,053",-1.13%
14-02-2008,"1,058",0.47%
15-02-2008,"1,060",0.19%
19-02-2008,"1,067",0.66%
20-02-2008,"1,057",-0.94%
21-02-2008,"1,056",-0.09%
22-02-2008,"1,070",1.33%
25-02-2008,"1,093",2.15%
26-02-2008,"1,104",1.01%
27-02-2008,"1,127",2.08%
28-02-2008,"1,151",2.13%
29-02-2008,"1,167",1.39%
03-03-2008,"1,164",-0.26%
04-03-2008,"1,169",0.43%
05-03-2008,"1,170",0.09%
06-03-2008,"1,171",0.09%
07-03-2008,"1,162",-0.77%
10-03-2008,"1,146",-1.38%
11-03-2008,"1,137",-0.79%
12-03-2008,"1,151",1.23%
13-03-2008,"1,178",2.35%
14-03-2008,"1,209",2.63%
17-03-2008,"1,257",3.97%
18-03-2008,"1,413",12.41%
19-03-2008,"1,554",9.98%
24-03-2008,"1,591",2.38%
25-03-2008,"1,594",0.19%
27-03-2008,"1,528",-4.14%
28-03-2008,"1,524",-0.26%
31-03-2008,"1,510",-0.92%
01-04-2008,"1,482",-1.85%
02-04-2008,"1,439",-2.90%
03-04-2008,"1,387",-3.61%
04-04-2008,"1,351",-2.60%
07-04-2008,"1,296",-4.07%
08-04-2008,"1,280",-1.23%
09-04-2008,"1,388",8.44%
10-04-2008,"1,447",4.25%
11-04-2008,"1,472",1.73%
14-04-2008,"1,529",3.87%
15-04-2008,"1,553",1.57%
16-04-2008,"1,599",2.96%
17-04-2008,"1,662",3.94%
18-04-2008,"1,686",1.44%
21-04-2008,"1,692",0.36%
22-04-2008,"1,693",0.06%
23-04-2008,"1,677",-0.95%
24-04-2008,"1,674",-0.18%
25-04-2008,"1,673",-0.06%
28-04-2008,"1,621",-3.11%
29-04-2008,"1,599",-1.36%
30-04-2008,"1,651",3.25%
01-05-2008,"1,678",1.64%
02-05-2008,"1,701",1.37%
06-05-2008,"1,672",-1.70%
07-05-2008,"1,713",2.45%
08-05-2008,"1,793",4.67%
09-05-2008,"1,818",1.39%
12-05-2008,"1,826",0.44%
13-05-2008,"1,829",0.16%
14-05-2008,"1,898",3.77%
15-05-2008,"1,971",3.85%
16-05-2008,"1,995",1.22%
