date,value
31-01-2011,1426.64
01-02-2011,1431.51
02-02-2011,1530.83
03-02-2011,1590.08
06-02-2011,1596.16
07-02-2011,1711.49
08-02-2011,1663.33
09-02-2011,1720.44
10-02-2011,1794.25
13-02-2011,1725.69
14-02-2011,1668.41
15-02-2011,1642.37
16-02-2011,1644.4
17-02-2011,1619.15
20-02-2011,1512.64
21-02-2011,1466.92
22-02-2011,1415.74
23-02-2011,1527.31
24-02-2011,1568.26
27-02-2011,1503.4
28-02-2011,1533.41
01-03-2011,1569.65
02-03-2011,1647.79
03-03-2011,1673.88
06-03-2011,1697.8
07-03-2011,1630.88
08-03-2011,1633.73
09-03-2011,1680.42
10-03-2011,1671.37
13-03-2011,1580.14
14-03-2011,1518.4
15-03-2011,1559.29
16-03-2011,1542.28
17-03-2011,1612.14
20-03-2011,1597.12
21-03-2011,1619.25
22-03-2011,1671.07
23-03-2011,1593.39
24-03-2011,1602.69
27-03-2011,1586.87
28-03-2011,1568.73
29-03-2011,1510.61
30-03-2011,1536.71
31-03-2011,1540.53
03-04-2011,1514.99
04-04-2011,1461.77
05-04-2011,1412.08
06-04-2011,1375.45
07-04-2011,1357.48
10-04-2011,1349.22
11-04-2011,1313.09
12-04-2011,1246.51
13-04-2011,1271.76
14-04-2011,1276.71
17-04-2011,1248.32
18-04-2011,1191.09
19-04-2011,1135.64
20-04-2011,1130.6
25-04-2011,1180.29
26-04-2011,1257.69
27-04-2011,1238.55
02-05-2011,1206.81
03-05-2011,1207.15
04-05-2011,1205.29
05-05-2011,1191.99
08-05-2011,1142.85
09-05-2011,1154.22
10-05-2011,1131.64
11-05-2011,1077.54
12-05-2011,1068.98
15-05-2011,1033.42
16-05-2011,1043.78
17-05-2011,1098.49
18-05-2011,1130.54
19-05-2011,1127.88
22-05-2011,1148.44
23-05-2011,1214.44
24-05-2011,1240.7
25-05-2011,1232.23
26-05-2011,1233.98
30-05-2011,1266.1
31-05-2011,1241.97
01-06-2011,1218.16
02-06-2011,1191.61
05-06-2011,1178.16
06-06-2011,1128.56
07-06-2011,1156.15
08-06-2011,1171.95
09-06-2011,1173.45
12-06-2011,1175.97
13-06-2011,1173.05
14-06-2011,1200.93
15-06-2011,1183.79
16-06-2011,1189.33
19-06-2011,1164.92
20-06-2011,1178.94
21-06-2011,1198.64
22-06-2011,1203.46
23-06-2011,1233.09
26-06-2011,1266.1
27-06-2011,1196.78
28-06-2011,1163.34
29-06-2011,1181.62
30-06-2011,1206.96
03-07-2011,1247.17
04-07-2011,1285.84
05-07-2011,1282.18
06-07-2011,1275.96
07-07-2011,1258.78
10-07-2011,1226.9
11-07-2011,1197.16
12-07-2011,1203.72
13-07-2011,1215.23
14-07-2011,1226.63
17-07-2011,1202.56
18-07-2011,1212.56
19-07-2011,1202.99
20-07-2011,1181.41
21-07-2011,1186.62
24-07-2011,1182.56
25-07-2011,1180.77
26-07-2011,1160.4
27-07-2011,1148.68
28-07-2011,1142.77
31-07-2011,1147.8
01-08-2011,1165.96
02-08-2011,1198.73
03-08-2011,1185.98
04-08-2011,1174.16
07-08-2011,1164.57
08-08-2011,1178.68
09-08-2011,1191.68
10-08-2011,1223.64
11-08-2011,1250.49
14-08-2011,1279.29
15-08-2011,1306.57
16-08-2011,1316.9
17-08-2011,1346.13
18-08-2011,1406.37
21-08-2011,1485.27
22-08-2011,1466.18
23-08-2011,1461.48
24-08-2011,1392.72
25-08-2011,1389.76
29-08-2011,1499.35
30-08-2011,1581.83
31-08-2011,1692.89
01-09-2011,1750.95
04-09-2011,1681.87
05-09-2011,1653.86
06-09-2011,1624.32
07-09-2011,1784.43
