Rate Date,Premium/Discount
21-03-2018,0.00%
22-03-2018,0.74%
23-03-2018,-2.92%
26-03-2018,1.89%
27-03-2018,3.04%
28-03-2018,2.03%
29-03-2018,1.07%
02-04-2018,2.05%
03-04-2018,2.79%
04-04-2018,0.04%
05-04-2018,-0.35%
06-04-2018,-0.29%
09-04-2018,0.82%
10-04-2018,-0.68%
11-04-2018,-2.31%
12-04-2018,1.33%
13-04-2018,-1.61%
16-04-2018,-2.83%
17-04-2018,-0.54%
18-04-2018,-1.43%
19-04-2018,-4.15%
20-04-2018,-1.33%
23-04-2018,-0.48%
24-04-2018,-1.27%
25-04-2018,0.70%
26-04-2018,-1.20%
27-04-2018,-2.14%
30-04-2018,-3.34%
01-05-2018,-1.35%
02-05-2018,-1.24%
03-05-2018,-2.56%
04-05-2018,1.69%
07-05-2018,1.70%
08-05-2018,0.66%
09-05-2018,-1.05%
10-05-2018,-3.16%
11-05-2018,-0.25%
14-05-2018,0.58%
15-05-2018,-2.41%
16-05-2018,-2.45%
17-05-2018,-0.96%
18-05-2018,-3.53%
21-05-2018,4.33%
22-05-2018,1.23%
23-05-2018,1.02%
24-05-2018,1.38%
25-05-2018,1.58%
29-05-2018,0.49%
30-05-2018,2.32%
31-05-2018,-0.75%
01-06-2018,-1.62%
04-06-2018,-2.55%
05-06-2018,-0.06%
06-06-2018,-2.89%
07-06-2018,0.53%
08-06-2018,-1.76%
11-06-2018,-0.95%
12-06-2018,0.77%
13-06-2018,-1.80%
14-06-2018,1.28%
15-06-2018,0.65%
18-06-2018,0.02%
19-06-2018,-0.27%
20-06-2018,-1.68%
21-06-2018,0.27%
22-06-2018,0.10%
25-06-2018,-0.14%
26-06-2018,0.16%
27-06-2018,-1.36%
28-06-2018,0.08%
29-06-2018,-0.23%
02-07-2018,0.71%
03-07-2018,-0.09%
05-07-2018,-0.05%
06-07-2018,2.95%
09-07-2018,0.48%
10-07-2018,-0.63%
11-07-2018,0.97%
12-07-2018,0.43%
13-07-2018,0.49%
16-07-2018,0.95%
17-07-2018,0.57%
18-07-2018,-0.41%
19-07-2018,0.45%
20-07-2018,-0.09%
23-07-2018,0.26%
24-07-2018,-0.43%
25-07-2018,0.24%
26-07-2018,1.65%
27-07-2018,-0.34%
30-07-2018,-0.55%
31-07-2018,-1.52%
01-08-2018,-0.34%
02-08-2018,-1.15%
03-08-2018,-0.08%
06-08-2018,-0.71%
07-08-2018,-0.12%
08-08-2018,0.07%
09-08-2018,0.48%
10-08-2018,-0.34%
13-08-2018,0.30%
14-08-2018,0.88%
15-08-2018,0.35%
16-08-2018,0.13%
17-08-2018,-0.22%
20-08-2018,-0.14%
21-08-2018,-0.46%
22-08-2018,0.23%
23-08-2018,0.52%
24-08-2018,0.93%
27-08-2018,0.59%
28-08-2018,0.34%
29-08-2018,0.08%
30-08-2018,0.56%
31-08-2018,1.09%
04-09-2018,0.66%
05-09-2018,0.73%
06-09-2018,0.59%
07-09-2018,0.45%
10-09-2018,0.20%
11-09-2018,1.13%
12-09-2018,0.07%
13-09-2018,0.26%
14-09-2018,0.37%
17-09-2018,0.20%
18-09-2018,0.38%
19-09-2018,0.80%
20-09-2018,-0.17%
21-09-2018,0.25%
24-09-2018,0.13%
25-09-2018,0.26%
26-09-2018,0.34%
27-09-2018,0.69%
28-09-2018,0.55%
01-10-2018,0.22%
02-10-2018,0.62%
03-10-2018,0.01%
04-10-2018,0.50%
05-10-2018,0.07%
08-10-2018,0.91%
09-10-2018,0.71%
10-10-2018,-0.38%
11-10-2018,-0.71%
12-10-2018,0.64%
15-10-2018,-0.03%
16-10-2018,0.49%
17-10-2018,-0.76%
18-10-2018,0.65%
19-10-2018,0.37%
22-10-2018,-0.35%
23-10-2018,0.71%
24-10-2018,0.05%
25-10-2018,0.35%
26-10-2018,0.37%
29-10-2018,-0.02%
30-10-2018,0.37%
31-10-2018,-0.64%
01-11-2018,2.31%
02-11-2018,0.06%
05-11-2018,0.20%
06-11-2018,0.58%
07-11-2018,0.38%
08-11-2018,0.63%
09-11-2018,-0.10%
12-11-2018,-0.13%
13-11-2018,-0.58%
14-11-2018,-1.44%
15-11-2018,1.46%
16-11-2018,0.29%
19-11-2018,1.80%
20-11-2018,0.32%
21-11-2018,1.43%
23-11-2018,0.93%
26-11-2018,0.27%
27-11-2018,0.25%
28-11-2018,-0.43%
29-11-2018,0.30%
30-11-2018,0.05%
03-12-2018,0.01%
04-12-2018,-0.32%
06-12-2018,-0.46%
07-12-2018,0.25%
10-12-2018,0.17%
11-12-2018,0.69%
12-12-2018,-1.19%
13-12-2018,-4.42%
14-12-2018,-0.64%
17-12-2018,-0.54%
18-12-2018,0.63%
19-12-2018,-0.98%
20-12-2018,-0.46%
21-12-2018,-1.18%
24-12-2018,0.68%
26-12-2018,-1.95%
27-12-2018,-0.46%
28-12-2018,-0.49%
31-12-2018,-0.99%
02-01-2019,-0.12%
03-01-2019,-0.30%
04-01-2019,0.41%
07-01-2019,-2.81%
08-01-2019,-2.78%
09-01-2019,1.94%
10-01-2019,1.73%
11-01-2019,0.12%
14-01-2019,-0.31%
15-01-2019,0.78%
16-01-2019,-0.54%
17-01-2019,-0.55%
18-01-2019,-0.01%
22-01-2019,-0.72%
23-01-2019,0.68%
24-01-2019,0.97%
25-01-2019,0.68%
28-01-2019,0.81%
29-01-2019,-0.04%
30-01-2019,-0.92%
31-01-2019,0.73%
01-02-2019,2.04%
04-02-2019,0.63%
05-02-2019,0.65%
06-02-2019,1.01%
07-02-2019,0.83%
08-02-2019,-0.26%
11-02-2019,-0.16%
12-02-2019,0.54%
13-02-2019,3.80%
14-02-2019,1.09%
15-02-2019,2.46%
19-02-2019,1.67%
20-02-2019,4.75%
21-02-2019,2.41%
22-02-2019,3.55%
25-02-2019,2.45%
26-02-2019,2.25%
27-02-2019,1.97%
28-02-2019,3.27%
01-03-2019,2.93%
04-03-2019,1.54%
05-03-2019,2.41%
06-03-2019,6.60%
07-03-2019,2.31%
08-03-2019,2.38%
11-03-2019,1.60%
12-03-2019,2.48%
13-03-2019,2.22%
14-03-2019,0.70%
15-03-2019,0.09%
18-03-2019,0.83%
19-03-2019,-0.90%
20-03-2019,-0.62%
21-03-2019,-0.16%
22-03-2019,-0.13%
25-03-2019,0.59%
26-03-2019,-1.33%
27-03-2019,-1.34%
28-03-2019,-0.82%
29-03-2019,-1.68%
01-04-2019,0.03%
02-04-2019,0.33%
03-04-2019,-0.01%
04-04-2019,0.63%
05-04-2019,1.90%
08-04-2019,0.20%
09-04-2019,2.43%
10-04-2019,2.48%
11-04-2019,1.37%
12-04-2019,1.38%
15-04-2019,1.89%
16-04-2019,1.35%
17-04-2019,0.74%
18-04-2019,1.26%
22-04-2019,1.68%
23-04-2019,0.86%
24-04-2019,0.92%
25-04-2019,-0.16%
26-04-2019,1.00%
29-04-2019,0.60%
30-04-2019,0.91%
01-05-2019,-1.20%
02-05-2019,5.08%
03-05-2019,4.93%
06-05-2019,-3.94%
07-05-2019,1.77%
08-05-2019,-0.42%
09-05-2019,0.20%
10-05-2019,0.22%
13-05-2019,-0.79%
14-05-2019,0.14%
15-05-2019,-0.38%
16-05-2019,-1.07%
17-05-2019,0.59%
20-05-2019,0.01%
21-05-2019,0.92%
22-05-2019,0.43%
23-05-2019,0.40%
24-05-2019,0.42%
28-05-2019,-0.30%
29-05-2019,1.70%
30-05-2019,0.15%
31-05-2019,-0.19%
03-06-2019,-0.54%
04-06-2019,-0.38%
05-06-2019,0.52%
06-06-2019,-0.20%
07-06-2019,-0.56%
10-06-2019,-0.40%
11-06-2019,-0.41%
12-06-2019,-0.78%
13-06-2019,-1.09%
14-06-2019,-0.27%
17-06-2019,-0.76%
18-06-2019,-1.56%
19-06-2019,-1.53%
20-06-2019,-0.68%
21-06-2019,-0.58%
24-06-2019,-0.37%
25-06-2019,-0.38%
26-06-2019,-0.60%
27-06-2019,-0.66%
28-06-2019,-0.81%
01-07-2019,-4.00%
02-07-2019,-0.95%
03-07-2019,-1.56%
05-07-2019,-2.05%
08-07-2019,-1.28%
09-07-2019,-0.82%
10-07-2019,-0.73%
11-07-2019,-0.98%
12-07-2019,-1.33%
15-07-2019,-0.45%
16-07-2019,-0.59%
17-07-2019,-0.96%
18-07-2019,-0.99%
19-07-2019,0.09%
22-07-2019,-0.11%
23-07-2019,0.44%
24-07-2019,-0.86%
25-07-2019,-0.49%
26-07-2019,-0.83%
29-07-2019,-0.80%
30-07-2019,-1.46%
31-07-2019,-1.38%
01-08-2019,-1.42%
02-08-2019,-1.32%
05-08-2019,-2.22%
06-08-2019,-1.42%
07-08-2019,-0.49%
08-08-2019,-1.39%
09-08-2019,-0.94%
12-08-2019,-1.68%
13-08-2019,-0.98%
14-08-2019,-0.72%
15-08-2019,-1.87%
16-08-2019,-1.73%
19-08-2019,-1.76%
20-08-2019,-1.40%
21-08-2019,-1.38%
22-08-2019,-1.10%
23-08-2019,-1.68%
26-08-2019,-1.58%
27-08-2019,-1.11%
28-08-2019,-0.89%
29-08-2019,-0.89%
30-08-2019,-0.99%
03-09-2019,0.95%
04-09-2019,0.47%
05-09-2019,0.85%
06-09-2019,-0.80%
09-09-2019,-0.37%
10-09-2019,-0.23%
11-09-2019,-0.33%
12-09-2019,-0.60%
13-09-2019,-0.79%
16-09-2019,-0.83%
17-09-2019,-0.49%
18-09-2019,-1.44%
19-09-2019,-0.93%
20-09-2019,-1.17%
23-09-2019,-0.47%
24-09-2019,0.24%
25-09-2019,0.44%
26-09-2019,-0.29%
27-09-2019,0.69%
30-09-2019,0.32%
01-10-2019,1.12%
02-10-2019,0.56%
03-10-2019,-0.36%
04-10-2019,0.07%
07-10-2019,-0.90%
08-10-2019,-0.69%
09-10-2019,-0.52%
10-10-2019,-0.21%
11-10-2019,-0.47%
14-10-2019,-0.47%
15-10-2019,0.02%
16-10-2019,-0.07%
17-10-2019,0.14%
18-10-2019,0.99%
21-10-2019,-1.33%
22-10-2019,-0.89%
23-10-2019,-1.02%
24-10-2019,-1.60%
25-10-2019,-0.70%
28-10-2019,-1.08%
29-10-2019,-1.61%
30-10-2019,0.04%
31-10-2019,0.18%
01-11-2019,-0.53%
04-11-2019,0.60%
05-11-2019,0.27%
06-11-2019,-0.46%
07-11-2019,-0.25%
08-11-2019,-1.51%
11-11-2019,-0.76%
12-11-2019,-0.80%
13-11-2019,-0.86%
14-11-2019,-0.77%
15-11-2019,-0.74%
18-11-2019,-0.63%
19-11-2019,-0.55%
20-11-2019,-0.02%
21-11-2019,-0.05%
22-11-2019,-0.49%
25-11-2019,0.06%
26-11-2019,0.51%
27-11-2019,0.11%
29-11-2019,-3.23%
02-12-2019,-0.31%
03-12-2019,0.80%
04-12-2019,-0.05%
