contract,expiry_month,expiry_year,date,price,volume,expiry_date
SWFH26,Mar 2026,2026,05-03-2026,16643.0,375.0,
SWFJ26,Apr 2026,2026,05-03-2026,17357.0,795.0,
SWFK26,May 2026,2026,05-03-2026,17314.0,365.0,
SWFM26,Jun 2026,2026,05-03-2026,16250.0,345.0,
SWFN26,Jul 2026,2026,05-03-2026,15393.0,135.0,
SWFQ26,Aug 2026,2026,05-03-2026,15150.0,135.0,
SWFU26,Sep 2026,2026,05-03-2026,15036.0,135.0,
SWFV26,Oct 2026,2026,05-03-2026,14114.0,115.0,
SWFX26,Nov 2026,2026,05-03-2026,14114.0,115.0,
SWFZ26,Dec 2026,2026,05-03-2026,14114.0,115.0,
SWFF27,Jan 2027,2027,05-03-2026,12025.0,25.0,
SWFG27,Feb 2027,2027,05-03-2026,12025.0,25.0,
SWFH27,Mar 2027,2027,05-03-2026,12025.0,25.0,
SWFJ27,Apr 2027,2027,05-03-2026,13764.0,25.0,
SWFK27,May 2027,2027,05-03-2026,13764.0,25.0,
SWFM27,Jun 2027,2027,05-03-2026,13764.0,25.0,
SWFN27,Jul 2027,2027,05-03-2026,12478.0,25.0,
SWFQ27,Aug 2027,2027,05-03-2026,12478.0,25.0,
SWFU27,Sep 2027,2027,05-03-2026,12478.0,25.0,
SWFV27,Oct 2027,2027,05-03-2026,12478.0,25.0,
SWFX27,Nov 2027,2027,05-03-2026,12478.0,25.0,
SWFZ27,Dec 2027,2027,05-03-2026,12478.0,25.0,
SWFF28,Jan 2028,2028,05-03-2026,12121.0,20.0,
SWFG28,Feb 2028,2028,05-03-2026,12121.0,20.0,
SWFH28,Mar 2028,2028,05-03-2026,12121.0,20.0,
SWFJ28,Apr 2028,2028,05-03-2026,12121.0,20.0,
SWFK28,May 2028,2028,05-03-2026,12121.0,20.0,
SWFM28,Jun 2028,2028,05-03-2026,12121.0,20.0,
SWFN28,Jul 2028,2028,05-03-2026,12121.0,20.0,
SWFQ28,Aug 2028,2028,05-03-2026,12121.0,20.0,
SWFU28,Sep 2028,2028,05-03-2026,12121.0,20.0,
SWFV28,Oct 2028,2028,05-03-2026,12121.0,20.0,
SWFX28,Nov 2028,2028,05-03-2026,12121.0,20.0,
SWFZ28,Dec 2028,2028,05-03-2026,12121.0,20.0,
SWFF29,Jan 2029,2029,31-12-2024,11771.0,0.0,
SWFG29,Feb 2029,2029,31-12-2024,11771.0,0.0,
SWFH29,Mar 2029,2029,31-12-2024,11771.0,0.0,
SWFJ29,Apr 2029,2029,31-12-2024,11771.0,0.0,
SWFK29,May 2029,2029,31-12-2024,11771.0,0.0,
SWFM29,Jun 2029,2029,31-12-2024,11771.0,0.0,
SWFN29,Jul 2029,2029,31-12-2024,11771.0,0.0,
SWFQ29,Aug 2029,2029,31-12-2024,11771.0,0.0,
SWFU29,Sep 2029,2029,31-12-2024,11771.0,0.0,
SWFV29,Oct 2029,2029,31-12-2024,11771.0,0.0,
SWFX29,Nov 2029,2029,31-12-2024,11771.0,0.0,
SWFZ29,Dec 2029,2029,31-12-2024,11771.0,0.0,
SWFF30,Jan 2030,2030,31-12-2024,11813.0,0.0,
SWFG30,Feb 2030,2030,31-12-2024,11813.0,0.0,
SWFH30,Mar 2030,2030,31-12-2024,11813.0,0.0,
SWFJ30,Apr 2030,2030,31-12-2024,11813.0,0.0,
SWFK30,May 2030,2030,31-12-2024,11813.0,0.0,
SWFM30,Jun 2030,2030,31-12-2024,11813.0,0.0,
SWFN30,Jul 2030,2030,31-12-2024,11813.0,0.0,
SWFQ30,Aug 2030,2030,31-12-2024,11813.0,0.0,
SWFU30,Sep 2030,2030,31-12-2024,11813.0,0.0,
SWFV30,Oct 2030,2030,31-12-2024,11813.0,0.0,
SWFX30,Nov 2030,2030,31-12-2024,11813.0,0.0,
SWFZ30,Dec 2030,2030,31-12-2024,11813.0,0.0,
SWFF31,Jan 2031,2031,31-12-2024,11817.0,0.0,
SWFG31,Feb 2031,2031,31-12-2024,11817.0,0.0,
SWFH31,Mar 2031,2031,31-12-2024,11817.0,0.0,
SWFJ31,Apr 2031,2031,31-12-2024,11817.0,0.0,
SWFK31,May 2031,2031,31-12-2024,11817.0,0.0,
SWFM31,Jun 2031,2031,31-12-2024,11817.0,0.0,
SWFN31,Jul 2031,2031,31-12-2024,11817.0,0.0,
SWFQ31,Aug 2031,2031,31-12-2024,11817.0,0.0,
SWFU31,Sep 2031,2031,31-12-2024,11817.0,0.0,
SWFV31,Oct 2031,2031,31-12-2024,11817.0,0.0,
SWFX31,Nov 2031,2031,31-12-2024,11817.0,0.0,
SWFZ31,Dec 2031,2031,31-12-2024,11817.0,0.0,
SWFH26,Mar 2026,2026,06-03-2026,15943.0,200.0,31-03-2026
SWFJ26,Apr 2026,2026,06-03-2026,16743.0,680.0,30-04-2026
SWFK26,May 2026,2026,06-03-2026,16979.0,375.0,29-05-2026
SWFM26,Jun 2026,2026,06-03-2026,16036.0,300.0,30-06-2026
SWFN26,Jul 2026,2026,06-03-2026,14971.0,85.0,31-07-2026
SWFQ26,Aug 2026,2026,06-03-2026,14761.0,85.0,31-08-2026
SWFU26,Sep 2026,2026,06-03-2026,14621.0,85.0,30-09-2026
SWFV26,Oct 2026,2026,06-03-2026,13621.0,105.0,30-10-2026
SWFX26,Nov 2026,2026,06-03-2026,13621.0,105.0,30-11-2026
SWFZ26,Dec 2026,2026,06-03-2026,13621.0,105.0,24-12-2026
SWFF27,Jan 2027,2027,06-03-2026,11679.0,75.0,29-01-2027
SWFG27,Feb 2027,2027,06-03-2026,11679.0,75.0,26-02-2027
SWFH27,Mar 2027,2027,06-03-2026,11679.0,75.0,31-03-2027
SWFJ27,Apr 2027,2027,06-03-2026,13414.0,45.0,30-04-2027
SWFK27,May 2027,2027,06-03-2026,13414.0,45.0,31-05-2027
SWFM27,Jun 2027,2027,06-03-2026,13414.0,45.0,30-06-2027
SWFN27,Jul 2027,2027,06-03-2026,11912.0,45.0,30-07-2027
SWFQ27,Aug 2027,2027,06-03-2026,11912.0,45.0,31-08-2027
SWFU27,Sep 2027,2027,06-03-2026,11912.0,45.0,30-09-2027
SWFV27,Oct 2027,2027,06-03-2026,11912.0,45.0,29-10-2027
SWFX27,Nov 2027,2027,06-03-2026,11912.0,45.0,30-11-2027
SWFZ27,Dec 2027,2027,06-03-2026,11912.0,45.0,24-12-2027
SWFF28,Jan 2028,2028,06-03-2026,11764.0,5.0,31-01-2028
SWFG28,Feb 2028,2028,06-03-2026,11764.0,5.0,29-02-2028
SWFH28,Mar 2028,2028,06-03-2026,11764.0,5.0,31-03-2028
SWFJ28,Apr 2028,2028,06-03-2026,11764.0,5.0,28-04-2028
SWFK28,May 2028,2028,06-03-2026,11764.0,5.0,31-05-2028
SWFM28,Jun 2028,2028,06-03-2026,11764.0,5.0,30-06-2028
SWFN28,Jul 2028,2028,06-03-2026,11764.0,5.0,31-07-2028
SWFQ28,Aug 2028,2028,06-03-2026,11764.0,5.0,31-08-2028
SWFU28,Sep 2028,2028,06-03-2026,11764.0,5.0,29-09-2028
SWFV28,Oct 2028,2028,06-03-2026,11764.0,5.0,31-10-2028
SWFX28,Nov 2028,2028,06-03-2026,11764.0,5.0,30-11-2028
SWFZ28,Dec 2028,2028,06-03-2026,11764.0,5.0,22-12-2028
SWFH26,Mar 2026,2026,09-03-2026,15611.0,460.0,31-03-2026
SWFJ26,Apr 2026,2026,09-03-2026,16486.0,700.0,30-04-2026
SWFK26,May 2026,2026,09-03-2026,16764.0,295.0,29-05-2026
SWFM26,Jun 2026,2026,09-03-2026,16100.0,260.0,30-06-2026
SWFN26,Jul 2026,2026,09-03-2026,15007.0,70.0,31-07-2026
SWFQ26,Aug 2026,2026,09-03-2026,14750.0,70.0,31-08-2026
SWFU26,Sep 2026,2026,09-03-2026,14629.0,70.0,30-09-2026
SWFV26,Oct 2026,2026,09-03-2026,13654.0,110.0,30-10-2026
SWFX26,Nov 2026,2026,09-03-2026,13654.0,110.0,30-11-2026
SWFZ26,Dec 2026,2026,09-03-2026,13654.0,110.0,24-12-2026
SWFF27,Jan 2027,2027,09-03-2026,11557.0,55.0,29-01-2027
