date,value
22-12-2016,1000.0
02-01-2017,898.35
03-01-2017,882.27
04-01-2017,886.88
05-01-2017,860.46
08-01-2017,849.43
09-01-2017,858.87
10-01-2017,883.57
11-01-2017,877.08
12-01-2017,895.65
15-01-2017,893.19
16-01-2017,876.74
17-01-2017,867.1
18-01-2017,850.04
19-01-2017,839.42
22-01-2017,831.95
23-01-2017,831.31
24-01-2017,827.88
25-01-2017,814.38
26-01-2017,795.74
29-01-2017,787.43
30-01-2017,772.93
31-01-2017,765.09
01-02-2017,768.12
02-02-2017,800.99
05-02-2017,817.77
06-02-2017,831.02
07-02-2017,834.1
08-02-2017,847.18
09-02-2017,840.94
12-02-2017,827.19
13-02-2017,791.41
14-02-2017,795.55
15-02-2017,782.49
16-02-2017,779.61
19-02-2017,775.84
20-02-2017,759.14
21-02-2017,762.33
22-02-2017,763.42
23-02-2017,760.17
26-02-2017,757.38
27-02-2017,749.62
28-02-2017,754.99
01-03-2017,750.44
02-03-2017,754.58
05-03-2017,754.57
06-03-2017,758.04
07-03-2017,758.25
08-03-2017,753.15
09-03-2017,749.0
12-03-2017,746.29
13-03-2017,739.83
14-03-2017,740.58
15-03-2017,738.9
16-03-2017,737.69
19-03-2017,736.45
20-03-2017,732.78
21-03-2017,722.83
22-03-2017,711.15
23-03-2017,709.59
26-03-2017,710.65
27-03-2017,715.97
28-03-2017,737.75
29-03-2017,744.95
30-03-2017,754.4
02-04-2017,748.57
03-04-2017,754.57
04-04-2017,768.99
05-04-2017,795.8
06-04-2017,790.02
09-04-2017,808.68
10-04-2017,809.0
11-04-2017,821.19
12-04-2017,828.76
17-04-2017,840.92
18-04-2017,846.63
19-04-2017,833.32
20-04-2017,827.37
23-04-2017,823.38
24-04-2017,793.78
25-04-2017,784.48
26-04-2017,775.82
27-04-2017,776.75
01-05-2017,768.01
02-05-2017,769.94
03-05-2017,786.59
04-05-2017,788.51
07-05-2017,786.91
08-05-2017,775.86
09-05-2017,756.97
10-05-2017,746.89
11-05-2017,741.09
14-05-2017,725.71
15-05-2017,705.81
16-05-2017,695.19
17-05-2017,699.06
18-05-2017,700.55
21-05-2017,693.07
22-05-2017,693.33
23-05-2017,695.39
24-05-2017,695.89
25-05-2017,694.75
29-05-2017,694.78
30-05-2017,710.46
31-05-2017,724.8
01-06-2017,731.78
04-06-2017,738.75
05-06-2017,730.09
06-06-2017,715.57
07-06-2017,708.09
08-06-2017,695.75
11-06-2017,693.89
12-06-2017,693.37
13-06-2017,689.52
14-06-2017,694.87
15-06-2017,690.1
18-06-2017,690.15
19-06-2017,690.27
20-06-2017,700.38
21-06-2017,706.79
22-06-2017,715.84
25-06-2017,710.76
26-06-2017,702.87
27-06-2017,700.32
28-06-2017,701.69
29-06-2017,718.47
02-07-2017,718.6
03-07-2017,715.43
04-07-2017,725.22
05-07-2017,717.14
06-07-2017,727.69
09-07-2017,734.23
10-07-2017,733.89
11-07-2017,725.63
12-07-2017,725.06
13-07-2017,725.58
16-07-2017,726.58
17-07-2017,710.46
18-07-2017,713.21
19-07-2017,713.14
20-07-2017,715.66
23-07-2017,720.51
24-07-2017,723.95
25-07-2017,722.22
26-07-2017,724.02
27-07-2017,723.55
30-07-2017,723.9
31-07-2017,727.37
01-08-2017,724.85
02-08-2017,714.84
03-08-2017,719.97
06-08-2017,723.53
07-08-2017,716.06
08-08-2017,720.37
09-08-2017,719.0
10-08-2017,722.06
13-08-2017,728.61
14-08-2017,733.65
15-08-2017,739.18
16-08-2017,742.75
17-08-2017,742.75
20-08-2017,745.73
21-08-2017,740.5
22-08-2017,739.92
23-08-2017,743.79
24-08-2017,747.6
28-08-2017,753.68
29-08-2017,763.13
30-08-2017,774.75
31-08-2017,785.96
03-09-2017,790.37
04-09-2017,795.47
05-09-2017,792.1
06-09-2017,800.6
07-09-2017,810.67
10-09-2017,813.34
11-09-2017,803.42
12-09-2017,800.94
13-09-2017,775.17
14-09-2017,775.32
17-09-2017,777.2
18-09-2017,764.52
19-09-2017,780.09
20-09-2017,793.01
21-09-2017,827.51
24-09-2017,875.74
25-09-2017,860.51
26-09-2017,844.06
27-09-2017,865.54
28-09-2017,876.81
01-10-2017,896.75
02-10-2017,907.74
03-10-2017,914.79
04-10-2017,942.0
05-10-2017,934.55
08-10-2017,930.49
09-10-2017,940.82
10-10-2017,950.62
11-10-2017,981.5
12-10-2017,1032.21
15-10-2017,1054.35
16-10-2017,1034.42
17-10-2017,1018.94
18-10-2017,1006.89
19-10-2017,985.65
22-10-2017,1006.07
23-10-2017,1025.92
24-10-2017,1054.95
25-10-2017,1045.5
26-10-2017,1038.28
29-10-2017,1037.97
30-10-2017,1038.31
31-10-2017,1028.04
01-11-2017,1020.84
02-11-2017,1014.99
05-11-2017,993.53
06-11-2017,992.89
07-11-2017,998.02
08-11-2017,1002.32
09-11-2017,996.44
12-11-2017,987.83
13-11-2017,977.67
14-11-2017,947.79
15-11-2017,946.2
16-11-2017,944.64
19-11-2017,916.22
20-11-2017,901.77
21-11-2017,873.23
22-11-2017,840.4
23-11-2017,826.82
26-11-2017,825.03
27-11-2017,819.88
28-11-2017,813.16
29-11-2017,812.6
30-11-2017,807.74
03-12-2017,783.86
04-12-2017,776.79
05-12-2017,754.1
06-12-2017,734.0
07-12-2017,712.78
10-12-2017,709.7
11-12-2017,731.59
12-12-2017,718.3
13-12-2017,738.76
14-12-2017,739.69
17-12-2017,757.08
18-12-2017,752.8
19-12-2017,743.61
20-12-2017,728.37
21-12-2017,728.25
01-01-2018,715.2
02-01-2018,697.83
03-01-2018,687.18
04-01-2018,681.56
07-01-2018,674.48
08-01-2018,670.82
09-01-2018,643.03
10-01-2018,639.79
11-01-2018,643.26
14-01-2018,672.68
15-01-2018,710.64
16-01-2018,685.79
17-01-2018,680.95
18-01-2018,682.86
21-01-2018,683.05
22-01-2018,679.78
23-01-2018,678.04
24-01-2018,674.31
25-01-2018,666.18
28-01-2018,664.64
29-01-2018,654.94
30-01-2018,648.57
31-01-2018,652.37
01-02-2018,641.29
04-02-2018,634.84
05-02-2018,629.48
06-02-2018,633.31
07-02-2018,642.66
08-02-2018,648.07
11-02-2018,645.04
12-02-2018,629.7
13-02-2018,613.9
14-02-2018,612.59
15-02-2018,614.48
18-02-2018,615.82
19-02-2018,620.59
20-02-2018,621.63
21-02-2018,621.27
22-02-2018,611.72
25-02-2018,612.3
26-02-2018,613.44
27-02-2018,614.86
28-02-2018,611.24
01-03-2018,614.85
04-03-2018,605.82
05-03-2018,603.18
06-03-2018,601.29
07-03-2018,595.45
08-03-2018,609.35
11-03-2018,619.12
12-03-2018,616.47
13-03-2018,618.5
14-03-2018,620.07
15-03-2018,626.77
18-03-2018,635.03
19-03-2018,659.97
20-03-2018,650.81
21-03-2018,649.82
22-03-2018,640.78
25-03-2018,656.43
26-03-2018,653.65
27-03-2018,636.95
28-03-2018,655.05
02-04-2018,653.92
03-04-2018,630.37
04-04-2018,634.58
05-04-2018,624.22
08-04-2018,619.98
09-04-2018,605.11
10-04-2018,602.22
11-04-2018,597.74
12-04-2018,596.19
15-04-2018,599.38
16-04-2018,601.46
17-04-2018,612.98
18-04-2018,613.63
19-04-2018,612.63
22-04-2018,611.83
23-04-2018,606.61
24-04-2018,605.03
25-04-2018,605.32
26-04-2018,607.87
29-04-2018,609.9
30-04-2018,612.37
01-05-2018,618.32
02-05-2018,634.43
03-05-2018,635.31
07-05-2018,625.76
08-05-2018,634.09
09-05-2018,630.22
10-05-2018,625.64
13-05-2018,623.14
14-05-2018,621.51
15-05-2018,624.26
16-05-2018,633.16
17-05-2018,646.35
20-05-2018,647.0
21-05-2018,663.49
22-05-2018,668.87
23-05-2018,667.9
24-05-2018,675.75
28-05-2018,701.33
29-05-2018,689.43
30-05-2018,689.12
31-05-2018,687.28
03-06-2018,675.64
04-06-2018,667.34
05-06-2018,660.44
06-06-2018,665.97
07-06-2018,671.6
10-06-2018,668.18
11-06-2018,668.24
12-06-2018,667.72
13-06-2018,669.93
14-06-2018,674.78
17-06-2018,686.28
18-06-2018,701.63
19-06-2018,701.57
20-06-2018,686.67
21-06-2018,686.88
24-06-2018,677.51
25-06-2018,693.57
26-06-2018,691.87
27-06-2018,699.71
28-06-2018,708.73
01-07-2018,704.37
02-07-2018,701.7
03-07-2018,712.77
04-07-2018,721.73
05-07-2018,727.63
08-07-2018,729.91
09-07-2018,730.31
10-07-2018,721.28
11-07-2018,719.58
12-07-2018,720.04
15-07-2018,714.92
16-07-2018,702.75
17-07-2018,703.85
18-07-2018,707.94
19-07-2018,726.94
22-07-2018,734.49
23-07-2018,751.27
24-07-2018,775.74
25-07-2018,793.4
26-07-2018,795.09
29-07-2018,798.71
30-07-2018,799.38
31-07-2018,819.24
01-08-2018,825.73
02-08-2018,834.48
05-08-2018,837.97
06-08-2018,818.56
07-08-2018,819.11
08-08-2018,797.98
09-08-2018,799.94
12-08-2018,805.89
13-08-2018,814.82
14-08-2018,825.29
15-08-2018,848.14
16-08-2018,859.36
19-08-2018,889.51
