Date,Index,% Change
06-10-2008,"2,325",
07-10-2008,"2,311",-0.60%
08-10-2008,"2,196",-4.98%
09-10-2008,"2,029",-7.60%
10-10-2008,"1,805",-11.04%
13-10-2008,"1,584",-12.24%
14-10-2008,"1,442",-8.96%
15-10-2008,"1,309",-9.22%
16-10-2008,"1,186",-9.40%
17-10-2008,"1,110",-6.41%
20-10-2008,"1,050",-5.41%
21-10-2008,"1,024",-2.48%
22-10-2008,998,-2.54%
23-10-2008,966,-3.21%
24-10-2008,921,-4.66%
27-10-2008,871,-5.43%
28-10-2008,802,-7.92%
29-10-2008,736,-8.23%
30-10-2008,697,-5.30%
31-10-2008,677,-2.87%
03-11-2008,662,-2.22%
04-11-2008,679,2.57%
05-11-2008,772,13.70%
06-11-2008,831,7.64%
07-11-2008,836,0.60%
10-11-2008,832,-0.48%
11-11-2008,858,3.13%
12-11-2008,897,4.55%
13-11-2008,937,4.46%
14-11-2008,953,1.71%
17-11-2008,999,4.83%
18-11-2008,"1,012",1.30%
19-11-2008,978,-3.36%
20-11-2008,927,-5.21%
21-11-2008,886,-4.42%
24-11-2008,848,-4.29%
25-11-2008,804,-5.19%
26-11-2008,719,-10.57%
27-11-2008,653,-9.18%
28-11-2008,622,-4.75%
01-12-2008,590,-5.14%
02-12-2008,559,-5.25%
03-12-2008,539,-3.58%
04-12-2008,525,-2.60%
05-12-2008,504,-4.00%
08-12-2008,481,-4.56%
09-12-2008,466,-3.12%
10-12-2008,450,-3.43%
11-12-2008,442,-1.78%
12-12-2008,440,-0.45%
15-12-2008,450,2.27%
16-12-2008,480,6.67%
17-12-2008,514,7.08%
18-12-2008,543,5.64%
19-12-2008,575,5.89%
22-12-2008,583,1.39%
23-12-2008,571,-2.06%
24-12-2008,558,-2.28%
02-01-2009,540,-3.23%
05-01-2009,525,-2.78%
06-01-2009,525,0.00%
07-01-2009,533,1.52%
08-01-2009,532,-0.19%
09-01-2009,534,0.38%
12-01-2009,529,-0.94%
13-01-2009,520,-1.70%
14-01-2009,513,-1.35%
15-01-2009,502,-2.14%
16-01-2009,496,-1.20%
19-01-2009,492,-0.81%
20-01-2009,494,0.41%
21-01-2009,504,2.02%
22-01-2009,513,1.79%
23-01-2009,531,3.51%
26-01-2009,562,5.84%
27-01-2009,588,4.63%
28-01-2009,633,7.65%
29-01-2009,719,13.59%
30-01-2009,795,10.57%
02-02-2009,842,5.91%
03-02-2009,881,4.63%
04-02-2009,"1,000",13.51%
05-02-2009,"1,128",12.80%
06-02-2009,"1,251",10.90%
09-02-2009,"1,373",9.75%
10-02-2009,"1,518",10.56%
11-02-2009,"1,517",-0.07%
12-02-2009,"1,484",-2.18%
13-02-2009,"1,399",-5.73%
16-02-2009,"1,335",-4.57%
17-02-2009,"1,305",-2.25%
18-02-2009,"1,352",3.60%
19-02-2009,"1,384",2.37%
20-02-2009,"1,439",3.97%
23-02-2009,"1,466",1.88%
24-02-2009,"1,461",-0.34%
25-02-2009,"1,470",0.62%
26-02-2009,"1,493",1.56%
27-02-2009,"1,542",3.28%
02-03-2009,"1,625",5.38%
03-03-2009,"1,720",5.85%
04-03-2009,"1,901",10.52%
05-03-2009,"2,096",10.26%
06-03-2009,"2,230",6.39%
09-03-2009,"2,316",3.86%
10-03-2009,"2,417",4.36%
11-03-2009,"2,401",-0.66%
12-03-2009,"2,287",-4.75%
13-03-2009,"2,158",-5.64%
16-03-2009,"2,045",-5.24%
17-03-2009,"1,899",-7.14%
18-03-2009,"1,660",-12.59%
19-03-2009,"1,508",-9.16%
20-03-2009,"1,475",-2.19%
23-03-2009,"1,489",0.95%
24-03-2009,"1,526",2.48%
25-03-2009,"1,544",1.18%
26-03-2009,"1,531",-0.84%
27-03-2009,"1,492",-2.55%
30-03-2009,"1,434",-3.89%
31-03-2009,"1,374",-4.18%
01-04-2009,"1,293",-5.90%
02-04-2009,"1,233",-4.64%
03-04-2009,"1,186",-3.81%
06-04-2009,"1,143",-3.63%
07-04-2009,"1,107",-3.15%
08-04-2009,"1,114",0.63%
09-04-2009,"1,144",2.69%
14-04-2009,"1,185",3.58%
15-04-2009,"1,281",8.10%
16-04-2009,"1,413",10.30%
17-04-2009,"1,555",10.05%
20-04-2009,"1,612",3.67%
21-04-2009,"1,666",3.35%
22-04-2009,"1,746",4.80%
23-04-2009,"1,743",-0.17%
24-04-2009,"1,662",-4.65%
27-04-2009,"1,575",-5.23%
28-04-2009,"1,497",-4.95%
29-04-2009,"1,469",-1.87%
30-04-2009,"1,523",3.68%
01-05-2009,"1,556",2.17%
05-05-2009,"1,702",9.38%
06-05-2009,"1,895",11.34%
07-05-2009,"2,084",9.97%
08-05-2009,"2,144",2.88%
11-05-2009,"2,147",0.14%
12-05-2009,"2,158",0.51%
13-05-2009,"2,226",3.15%
14-05-2009,"2,362",6.11%
15-05-2009,"2,474",4.74%
18-05-2009,"2,516",1.70%
19-05-2009,"2,530",0.56%
20-05-2009,"2,462",-2.69%
21-05-2009,"2,373",-3.61%
22-05-2009,"2,293",-3.37%
26-05-2009,"2,369",3.31%
27-05-2009,"2,612",10.26%
28-05-2009,"2,764",5.82%
29-05-2009,"2,900",4.92%
01-06-2009,"3,093",6.66%
02-06-2009,"3,330",7.66%
03-06-2009,"3,505",5.26%
04-06-2009,"3,431",-2.11%
05-06-2009,"3,252",-5.22%
08-06-2009,"3,027",-6.92%
09-06-2009,"2,772",-8.42%
10-06-2009,"2,615",-5.66%
11-06-2009,"2,643",1.07%
12-06-2009,"2,754",4.20%
15-06-2009,"2,881",4.61%
16-06-2009,"3,108",7.88%
17-06-2009,"3,176",2.19%
18-06-2009,"3,162",-0.44%
19-06-2009,"3,125",-1.17%
22-06-2009,"3,068",-1.82%
23-06-2009,"3,021",-1.53%
24-06-2009,"2,939",-2.71%
25-06-2009,"2,868",-2.42%
26-06-2009,"2,817",-1.78%
29-06-2009,"2,837",0.71%
30-06-2009,"2,904",2.36%
01-07-2009,"2,984",2.75%
02-07-2009,"3,059",2.51%
03-07-2009,"3,027",-1.05%
