date,tenor,delivery_month,delivery_year,fef_ticker,fef_settle,fef_oi,fef_volume,m65f_ticker,m65f_settle,m65f_oi,m65f_volume,fe65_fe62_premium_spread,lpf_ticker,lpf_settle,lpf_oi,lpf_volume,fef_term_structure_slope,fef_slope_pct,fef_curve_regime
2026-09-07,Sep-2026,Sep,2026,FEFU26,100.26,359680,41333,M65FU26,115.4,14818,100,15.14,LPFU26,0.2425,11766,200,0.0,0.0,Prompt
2026-09-07,Oct-2026,Oct,2026,FEFV26,100.32,398236,144279,M65FV26,115.13,7310,1340,14.81,LPFV26,0.21,13443,1150,0.06,0.06,Flat
2026-09-07,Nov-2026,Nov,2026,FEFX26,100.26,153778,56034,M65FX26,115.01,3933,100,14.75,LPFX26,0.1885,4660,400,0.0,0.0,Flat
2026-09-07,Dec-2026,Dec,2026,FEFZ26,100.16,118880,19883,M65FZ26,114.9,800,0,14.74,LPFZ26,0.1725,0,0,-0.1,-0.1,Flat
2026-09-07,Jan-2027,Jan,2027,FEFF27,100.03,62656,11952,M65FF27,114.77,200,200,14.74,LPFF27,0.1725,0,0,-0.23,-0.23,Flat
2026-09-07,Feb-2027,Feb,2027,FEFG27,99.85,25554,2399,M65FG27,114.58,200,200,14.73,LPFG27,0.17,0,0,-0.41,-0.41,Backwardation
2026-09-07,Mar-2027,Mar,2027,FEFH27,99.65,21327,1908,M65FH27,114.37,200,200,14.72,LPFH27,0.17,0,0,-0.61,-0.61,Backwardation
2026-09-07,Apr-2027,Apr,2027,FEFJ27,99.45,13866,25,M65FJ27,114.2,0,0,14.75,LPFJ27,0.1675,0,0,-0.81,-0.81,Backwardation
2026-09-07,May-2027,May,2027,FEFK27,99.25,14607,25,M65FK27,114.0,0,0,14.75,LPFK27,0.1675,0,0,-1.01,-1.01,Backwardation
2026-09-07,Jun-2027,Jun,2027,FEFM27,99.06,12827,25,M65FM27,113.81,0,0,14.75,LPFM27,0.1675,0,0,-1.2,-1.2,Backwardation
2026-09-07,Jul-2027,Jul,2027,FEFN27,98.86,11571,0,M65FN27,113.58,0,0,14.72,LPFN27,0.1625,0,0,-1.4,-1.4,Backwardation
2026-09-07,Aug-2027,Aug,2027,FEFQ27,98.67,11571,0,M65FQ27,113.39,0,0,14.72,LPFQ27,0.1625,0,0,-1.59,-1.59,Backwardation
2026-09-07,Sep-2027,Sep,2027,FEFU27,98.48,11988,0,M65FU27,113.2,0,0,14.72,LPFU27,0.1625,0,0,-1.78,-1.78,Backwardation
2026-09-07,Oct-2027,Oct,2027,FEFV27,98.31,8112,0,M65FV27,112.99,0,0,14.68,LPFV27,0.1575,0,0,-1.95,-1.94,Backwardation
2026-09-07,Nov-2027,Nov,2027,FEFX27,98.15,7755,0,M65FX27,112.83,0,0,14.68,LPFX27,0.1575,0,0,-2.11,-2.1,Backwardation
2026-09-07,Dec-2027,Dec,2027,FEFZ27,97.98,10704,0,M65FZ27,112.66,0,0,14.68,LPFZ27,0.1575,0,0,-2.28,-2.27,Backwardation
2026-09-07,Jan-2028,Jan,2028,FEFF28,97.82,923,0,M65FF28,112.47,0,0,14.65,LPFF28,,0,0,-2.44,-2.43,Backwardation
2026-09-07,Feb-2028,Feb,2028,FEFG28,97.65,923,0,M65FG28,112.3,0,0,14.65,LPFG28,,0,0,-2.61,-2.6,Backwardation
2026-09-07,Mar-2028,Mar,2028,FEFH28,97.46,923,0,M65FH28,112.11,0,0,14.65,LPFH28,,0,0,-2.8,-2.79,Backwardation
2026-09-07,Apr-2028,Apr,2028,FEFJ28,97.26,892,0,M65FJ28,111.88,0,0,14.62,LPFJ28,,0,0,-3.0,-2.99,Backwardation
2026-09-07,May-2028,May,2028,FEFK28,97.05,892,0,M65FK28,111.67,0,0,14.62,LPFK28,,0,0,-3.21,-3.2,Backwardation
2026-09-07,Jun-2028,Jun,2028,FEFM28,96.85,893,0,M65FM28,111.47,0,0,14.62,LPFM28,,0,0,-3.41,-3.4,Backwardation
2026-09-07,Jul-2028,Jul,2028,FEFN28,96.65,880,0,M65FN28,111.23,0,0,14.58,LPFN28,,0,0,-3.61,-3.6,Backwardation
2026-09-07,Aug-2028,Aug,2028,FEFQ28,96.46,880,0,M65FQ28,111.04,0,0,14.58,LPFQ28,,0,0,-3.8,-3.79,Backwardation
2026-09-07,Sep-2028,Sep,2028,FEFU28,96.26,880,0,M65FU28,110.84,0,0,14.58,LPFU28,,0,0,-4.0,-3.99,Backwardation
2026-09-07,Oct-2028,Oct,2028,FEFV28,96.09,830,0,M65FV28,110.64,0,0,14.55,LPFV28,,0,0,-4.17,-4.16,Backwardation
2026-09-07,Nov-2028,Nov,2028,FEFX28,95.9,832,0,M65FX28,110.45,0,0,14.55,LPFX28,,0,0,-4.36,-4.35,Backwardation
2026-09-07,Dec-2028,Dec,2028,FEFZ28,95.71,980,0,M65FZ28,110.26,0,0,14.55,LPFZ28,,0,0,-4.55,-4.54,Backwardation
2026-09-07,Jan-2029,Jan,2029,FEFF29,95.5,260,0,M65FF29,,0,0,,LPFF29,,0,0,-4.76,-4.75,Backwardation
2026-09-07,Feb-2029,Feb,2029,FEFG29,95.29,260,0,M65FG29,,0,0,,LPFG29,,0,0,-4.97,-4.96,Backwardation
2026-09-07,Mar-2029,Mar,2029,FEFH29,95.08,260,0,M65FH29,,0,0,,LPFH29,,0,0,-5.18,-5.17,Backwardation
2026-09-07,Apr-2029,Apr,2029,FEFJ29,94.9,260,0,M65FJ29,,0,0,,LPFJ29,,0,0,-5.36,-5.35,Backwardation
2026-09-07,May-2029,May,2029,FEFK29,94.73,260,0,M65FK29,,0,0,,LPFK29,,0,0,-5.53,-5.52,Backwardation
2026-09-07,Jun-2029,Jun,2029,FEFM29,94.56,260,0,M65FM29,,0,0,,LPFM29,,0,0,-5.7,-5.69,Backwardation
2026-09-07,Jul-2029,Jul,2029,FEFN29,94.38,265,0,M65FN29,,0,0,,LPFN29,,0,0,-5.88,-5.86,Backwardation
2026-09-07,Aug-2029,Aug,2029,FEFQ29,94.2,260,0,M65FQ29,,0,0,,LPFQ29,,0,0,-6.06,-6.04,Backwardation
2026-09-07,Sep-2029,Sep,2029,FEFU29,94.02,260,0,M65FU29,,0,0,,LPFU29,,0,0,-6.24,-6.22,Backwardation
2026-09-07,Oct-2029,Oct,2029,FEFV29,93.84,260,0,M65FV29,,0,0,,LPFV29,,0,0,-6.42,-6.4,Backwardation
2026-09-07,Nov-2029,Nov,2029,FEFX29,93.67,260,0,M65FX29,,0,0,,LPFX29,,0,0,-6.59,-6.57,Backwardation
2026-09-07,Dec-2029,Dec,2029,FEFZ29,93.5,260,0,M65FZ29,,0,0,,LPFZ29,,0,0,-6.76,-6.74,Backwardation
