date,period,commodity,hs_code,reporter,partner,import_volume_mt,cif_usd,avg_cif_usd_t
2023-01-01,202301,Bauxite,260600,China,Guinea,9144190.0,607482720.0,66.43
2023-02-01,202302,Bauxite,260600,China,Guinea,7901450.0,507946655.0,64.29
2023-03-01,202303,Bauxite,260600,China,Guinea,8868430.0,572111382.0,64.51
2023-04-01,202304,Bauxite,260600,China,Guinea,8856670.0,571779982.0,64.56
2023-05-01,202305,Bauxite,260600,China,Guinea,9781700.0,614447710.0,62.82
2023-06-01,202306,Bauxite,260600,China,Guinea,8125970.0,514156448.0,63.27
2023-07-01,202307,Bauxite,260600,China,Guinea,9164150.0,569909045.0,62.19
2023-08-01,202308,Bauxite,260600,China,Guinea,7323440.0,464817988.0,63.47
2023-09-01,202309,Bauxite,260600,China,Guinea,6768580.0,437557999.0,64.65
2023-10-01,202310,Bauxite,260600,China,Guinea,7047840.0,462049546.0,65.56
2023-11-01,202311,Bauxite,260600,China,Guinea,7967110.0,523497924.0,65.71
2023-12-01,202312,Bauxite,260600,China,Guinea,8188600.0,539970911.0,65.94
2024-01-01,202401,Bauxite,260600,China,Guinea,9229100.0,612863015.0,66.41
2024-02-01,202402,Bauxite,260600,China,Guinea,8854250.0,580418510.0,65.55
2024-03-01,202403,Bauxite,260600,China,Guinea,8799260.0,592578972.0,67.34
2024-04-01,202404,Bauxite,260600,China,Guinea,10482700.0,718505454.0,68.54
2024-05-01,202405,Bauxite,260600,China,Guinea,9401750.0,644155727.0,68.51
2024-06-01,202406,Bauxite,260600,China,Guinea,9473850.0,645782102.0,68.16
2024-07-01,202407,Bauxite,260600,China,Guinea,10439600.0,714965262.0,68.49
2024-08-01,202408,Bauxite,260600,China,Guinea,10935000.0,750330892.0,68.62
2024-09-01,202409,Bauxite,260600,China,Guinea,6631190.0,467142635.0,70.45
2024-10-01,202410,Bauxite,260600,China,Guinea,7551230.0,533193173.0,70.61
2024-11-01,202411,Bauxite,260600,China,Guinea,7951650.0,570335951.0,71.73
2024-12-01,202412,Bauxite,260600,China,Guinea,10341900.0,759128034.0,73.4
