date,port,total_throughput_mt,iron_ore_exports_mt,destinations_t,mom_pct,yoy_pct,provenance
2020-10-01,Port Hedland,46.477,46.477,"{""Australia"": 9528.5, ""China"": 39720902.0, ""Indonesia"": 428354.0, ""Japan"": 2119934.0, ""Korea, Republic of"": 3708489.0, ""Taiwan, Province of China"": 499504.0}",,,live_ppa_archive
2020-11-01,Port Hedland,41.625,41.625,"{""China"": 34444480.0, ""Indonesia"": 430215.0, ""Japan"": 1169510.0, ""Korea, Republic of"": 5105364.0, ""Philippines"": 11608.0, ""Taiwan, Province of China"": 302800.0}",-10.44,,live_ppa_archive
2020-12-01,Port Hedland,46.499,46.499,"{""Australia"": 137498.0, ""China"": 39962625.0, ""Indonesia"": 592492.0, ""Japan"": 2337564.0, ""Korea, Republic of"": 2782756.0, ""Malaysia"": 77000.0, ""Philippines"": 203691.0, ""Taiwan, Province of China"": 320020.0}",11.71,,live_ppa_archive
2021-02-01,Port Hedland,37.488,37.488,"{""China"": 30730632.0, ""Indonesia"": 517166.0, ""Japan"": 2204385.0, ""Korea, Republic of"": 3041080.0, ""Taiwan, Province of China"": 297600.0}",-19.38,,live_ppa_archive
2021-05-01,Port Hedland,48.049,48.049,"{""Australia"": 177453.0, ""China"": 40189183.0, ""Indonesia"": 361268.0, ""Japan"": 2477540.0, ""Korea, Republic of"": 3407876.0, ""Malaysia"": 77000.0, ""Taiwan, Province of China"": 448459.0}",28.17,,live_ppa_archive
2021-06-01,Port Hedland,50.376,50.376,"{""China"": 42019148.0, ""Indonesia"": 903325.0, ""Japan"": 2422001.0, ""Korea, Republic of"": 3965561.0, ""Taiwan, Province of China"": 894717.0}",4.84,,live_ppa_archive
2021-08-01,Port Hedland,43.925,43.925,"{""China"": 35912894.0, ""Indonesia"": 728478.0, ""Japan"": 2802424.0, ""Korea, Republic of"": 3552412.0, ""Singapore"": 56.4, ""Taiwan, Province of China"": 575944.0}",-12.81,,live_ppa_archive
2021-09-01,Port Hedland,46.984,46.984,"{""China"": 38623546.0, ""Indonesia"": 352550.0, ""Japan"": 2811398.0, ""Korea, Republic of"": 3937535.0, ""Malaysia"": 77000.0, ""Philippines"": 42935.0, ""Taiwan, Province of China"": 893590.0, ""Vietnam"": 245200.0}",6.96,,live_ppa_archive
2021-10-01,Port Hedland,46.697,46.697,"{""China"": 39098056.0, ""Indonesia"": 560506.0, ""Japan"": 1879587.0, ""Korea, Republic of"": 3846596.0, ""Malaysia"": 98962.0, ""Philippines"": 177726.0, ""Taiwan, Province of China"": 473531.0, ""Vietnam"": 406345.0}",-0.61,,live_ppa_archive
2023-03-01,Port Hedland,45.763,45.763,"{""China"": 40406990.0, ""Indonesia"": 830458.0, ""Japan"": 1602697.0, ""Korea, Republic of"": 1954925.0, ""Malaysia"": 168952.0, ""Taiwan, Province of China"": 276332.0, ""Vietnam"": 522200.0}",-2.0,,live_ppa_archive
2023-04-01,Port Hedland,43.268,43.268,"{""China"": 35525370.0, ""Indonesia"": 359712.0, ""Japan"": 2433122.0, ""Korea, Republic of"": 3236880.0, ""Malaysia"": 180404.0, ""Taiwan, Province of China"": 712322.0, ""Vietnam"": 819764.0}",-5.45,,live_ppa_archive
2023-06-01,Port Hedland,51.929,51.929,"{""China"": 45596793.0, ""India"": 577593.0, ""Indonesia"": 441577.0, ""Japan"": 1935520.0, ""Korea, Republic of"": 2902974.0, ""Malaysia"": 338307.0, ""Philippines"": 11498.0, ""Taiwan, Province of China"": 136598.0}",20.02,,live_ppa_archive
2023-09-01,Port Hedland,45.075,45.075,"{""China"": 39382016.0, ""India"": 558428.0, ""Indonesia"": 364036.0, ""Japan"": 1008214.0, ""Korea, Republic of"": 3113463.0, ""Taiwan, Province of China"": 294943.0, ""Vietnam"": 353571.0}",-13.2,-3.02,live_ppa_archive
2023-10-01,Port Hedland,46.892,46.892,"{""China"": 39663722.0, ""India"": 373459.0, ""Indonesia"": 821668.0, ""Japan"": 1891966.0, ""Korea, Republic of"": 2595637.0, ""Malaysia"": 400138.0, ""Philippines"": 181048.0, ""Singapore"": 795.26, ""Taiwan, Province of China"": 435194.0, ""Vietnam"": 528762.0}",4.03,12.65,live_ppa_archive
2024-05-01,Port Hedland,51.941,51.941,"{""Australia"": 2365.23, ""China"": 45329014.0, ""India"": 332579.0, ""Indonesia"": 360249.0, ""Japan"": 1693515.0, ""Korea, Republic of"": 2857800.0, ""Malaysia"": 317725.0, ""Philippines"": 78209.0, ""Taiwan, Province of China"": 276194.0, ""Vietnam"": 695306.0}",10.77,11.7,live_ppa_archive
2002-07-01,Port of Dampier,8.219,6.765,,,,live_ppa_dampier_wayback
2002-08-01,Port of Dampier,7.844,6.334,,-6.37,,live_ppa_dampier_wayback
2002-09-01,Port of Dampier,7.777,6.126,,-3.28,,live_ppa_dampier_wayback
2002-10-01,Port of Dampier,8.261,6.752,,10.22,,live_ppa_dampier_wayback
2002-11-01,Port of Dampier,7.51,5.981,,-11.42,,live_ppa_dampier_wayback
2002-12-01,Port of Dampier,8.065,6.359,,6.32,,live_ppa_dampier_wayback
2003-01-01,Port of Dampier,7.267,5.736,,-9.8,,live_ppa_dampier_wayback
2003-02-01,Port of Dampier,7.444,6.09,,6.17,,live_ppa_dampier_wayback
2003-03-01,Port of Dampier,7.41,5.924,,-2.73,,live_ppa_dampier_wayback
2003-04-01,Port of Dampier,6.791,5.412,,-8.64,,live_ppa_dampier_wayback
2003-05-01,Port of Dampier,8.125,6.422,,18.66,,live_ppa_dampier_wayback
2003-06-01,Port of Dampier,7.515,6.158,,-4.11,,live_ppa_dampier_wayback
2003-07-01,Port of Dampier,7.718,6.21,,0.84,-8.2,live_ppa_dampier_wayback
2003-08-01,Port of Dampier,7.511,6.027,,-2.95,-4.85,live_ppa_dampier_wayback
2003-09-01,Port of Dampier,7.683,6.158,,2.17,0.52,live_ppa_dampier_wayback
2003-10-01,Port of Dampier,7.45,6.161,,0.05,-8.75,live_ppa_dampier_wayback
2003-11-01,Port of Dampier,8.366,6.679,,8.41,11.67,live_ppa_dampier_wayback
2003-12-01,Port of Dampier,7.817,6.375,,-4.55,0.25,live_ppa_dampier_wayback
2004-01-01,Port of Dampier,7.753,6.251,,-1.95,8.98,live_ppa_dampier_wayback
2004-02-01,Port of Dampier,6.783,5.546,,-11.28,-8.93,live_ppa_dampier_wayback
2004-03-01,Port of Dampier,6.457,5.064,,-8.69,-14.52,live_ppa_dampier_wayback
2004-04-01,Port of Dampier,6.348,5.001,,-1.24,-7.59,live_ppa_dampier_wayback
2004-05-01,Port of Dampier,7.252,5.734,,14.66,-10.71,live_ppa_dampier_wayback
