date,year,month,volume_kt,hist_5y_min,hist_5y_max,hist_5y_mean
2017-01-01,2017,1,27435.2,24691.7,30178.7,27435.2
2017-02-01,2017,2,24250.6,21825.5,26675.7,24250.6
2017-03-01,2017,3,31210.4,28089.4,34331.4,31210.4
2017-04-01,2017,4,26890.1,24201.1,29579.1,26890.1
2017-05-01,2017,5,32140.8,28926.7,35354.9,32140.8
2017-06-01,2017,6,34520.3,31068.3,37972.3,34520.3
2017-07-01,2017,7,29006.2,26105.6,31906.8,29006.2
2017-08-01,2017,8,36710.5,33039.5,40381.6,36710.5
2017-09-01,2017,9,33890.4,30501.4,37279.4,33890.4
2017-10-01,2017,10,34120.6,30708.5,37532.7,34120.6
2017-11-01,2017,11,33940.1,30546.1,37334.1,33940.1
2017-12-01,2017,12,38875.8,34988.2,42763.4,38875.8
2018-01-01,2018,1,27950.4,27435.2,27435.2,27435.2
2018-02-01,2018,2,25110.2,24250.6,24250.6,24250.6
2018-03-01,2018,3,28940.7,31210.4,31210.4,31210.4
2018-04-01,2018,4,29120.5,26890.1,26890.1,26890.1
2018-05-01,2018,5,35140.2,32140.8,32140.8,32140.8
2018-06-01,2018,6,33890.7,34520.3,34520.3,34520.3
2018-07-01,2018,7,35620.4,29006.2,29006.2,29006.2
2018-08-01,2018,8,38210.6,36710.5,36710.5,36710.5
2018-09-01,2018,9,36140.5,33890.4,33890.4,33890.4
2018-10-01,2018,10,37890.2,34120.6,34120.6,34120.6
2018-11-01,2018,11,34210.4,33940.1,33940.1,33940.1
2018-12-01,2018,12,37766.4,38875.8,38875.8,38875.8
2019-01-01,2019,1,32410.8,27435.2,27950.4,27692.8
2019-02-01,2019,2,28940.5,24250.6,25110.2,24680.4
2019-03-01,2019,3,22180.2,28940.7,31210.4,30075.6
2019-04-01,2019,4,18340.6,26890.1,29120.5,28005.3
2019-05-01,2019,5,29120.4,32140.8,35140.2,33640.5
2019-06-01,2019,6,29870.5,33890.7,34520.3,34205.5
2019-07-01,2019,7,34120.8,29006.2,35620.4,32313.3
2019-08-01,2019,8,32940.2,36710.5,38210.6,37460.6
2019-09-01,2019,9,37120.6,33890.4,36140.5,35015.4
2019-10-01,2019,10,31250.4,34120.6,37890.2,36005.4
2019-11-01,2019,11,27140.8,33940.1,34210.4,34075.2
2019-12-01,2019,12,36565.8,37766.4,38875.8,38321.1
2020-01-01,2020,1,26710.4,27435.2,32410.8,29265.5
2020-02-01,2020,2,21540.8,24250.6,28940.5,26100.4
2020-03-01,2020,3,20950.6,22180.2,31210.4,27443.8
2020-04-01,2020,4,23980.2,18340.6,29120.5,24783.7
2020-05-01,2020,5,21510.4,29120.4,35140.2,32133.8
2020-06-01,2020,6,30040.6,29870.5,34520.3,32760.5
2020-07-01,2020,7,33410.2,29006.2,35620.4,32915.8
2020-08-01,2020,8,31340.8,32940.2,38210.6,35953.8
2020-09-01,2020,9,37860.5,33890.4,37120.6,35717.2
2020-10-01,2020,10,31180.4,31250.4,37890.2,34420.4
2020-11-01,2020,11,29150.2,27140.8,34210.4,31763.8
2020-12-01,2020,12,34295.1,36565.8,38875.8,37736.0
2021-01-01,2021,1,27710.5,26710.4,32410.8,28626.7
2021-02-01,2021,2,22410.6,21540.8,28940.5,24960.5
2021-03-01,2021,3,25780.4,20950.6,31210.4,25820.5
2021-04-01,2021,4,24920.8,18340.6,29120.5,24582.8
2021-05-01,2021,5,29180.2,21510.4,35140.2,29477.9
2021-06-01,2021,6,31210.5,29870.5,34520.3,32080.5
2021-07-01,2021,7,31340.6,29006.2,35620.4,33039.4
2021-08-01,2021,8,34890.2,31340.8,38210.6,34800.5
2021-09-01,2021,9,31420.5,33890.4,37860.5,36253.0
2021-10-01,2021,10,30410.8,31180.4,37890.2,33610.4
2021-11-01,2021,11,30210.4,27140.8,34210.4,31110.4
2021-12-01,2021,12,29945.7,34295.1,38875.8,36875.8
2022-01-01,2022,1,24120.4,26710.4,32410.8,28443.5
2022-02-01,2022,2,21540.2,21540.8,28940.5,24450.5
2022-03-01,2022,3,24510.8,20950.6,31210.4,25812.5
