date,quarter,commodity,export_volume_mt,export_value_aud_b,primary_vessel_class,provenance
1990-03-01,1990 Q1,Bauxite,1.508,0.04,Capesize / Ultramax,live_disr_jun2026+cache
1990-03-01,1990 Q1,Iron Ore,20.991,0.457,Capesize (C5/C3),live_disr_jun2026+cache
1990-03-01,1990 Q1,LNG,0.63,0.111,LNG Carrier (174k),live_disr_jun2026+cache
1990-03-01,1990 Q1,Metallurgical Coal,14.755,0.902,Panamax / Capesize,live_disr_jun2026+cache
1990-03-01,1990 Q1,Thermal Coal,11.331,0.556,Panamax / Supramax,live_disr_jun2026+cache
1990-06-01,1990 Q2,Bauxite,1.508,0.04,Capesize / Ultramax,live_disr_jun2026+cache
1990-06-01,1990 Q2,Iron Ore,24.876,0.597,Capesize (C5/C3),live_disr_jun2026+cache
1990-06-01,1990 Q2,LNG,0.63,0.115,LNG Carrier (174k),live_disr_jun2026+cache
1990-06-01,1990 Q2,Metallurgical Coal,16.028,0.989,Panamax / Capesize,live_disr_jun2026+cache
1990-06-01,1990 Q2,Thermal Coal,11.051,0.553,Panamax / Supramax,live_disr_jun2026+cache
1990-09-01,1990 Q3,Bauxite,2.057,0.04,Capesize / Ultramax,live_disr_jun2026+cache
1990-09-01,1990 Q3,Iron Ore,26.415,0.624,Capesize (C5/C3),live_disr_jun2026+cache
1990-09-01,1990 Q3,LNG,0.75,0.106,LNG Carrier (174k),live_disr_jun2026+cache
1990-09-01,1990 Q3,Metallurgical Coal,13.939,0.836,Panamax / Capesize,live_disr_jun2026+cache
1990-09-01,1990 Q3,Thermal Coal,13.082,0.63,Panamax / Supramax,live_disr_jun2026+cache
1990-12-01,1990 Q4,Bauxite,2.057,0.04,Capesize / Ultramax,live_disr_jun2026+cache
1990-12-01,1990 Q4,Iron Ore,23.646,0.581,Capesize (C5/C3),live_disr_jun2026+cache
1990-12-01,1990 Q4,LNG,0.81,0.172,LNG Carrier (174k),live_disr_jun2026+cache
1990-12-01,1990 Q4,Metallurgical Coal,13.977,0.873,Panamax / Capesize,live_disr_jun2026+cache
1990-12-01,1990 Q4,Thermal Coal,12.052,0.602,Panamax / Supramax,live_disr_jun2026+cache
1991-03-01,1991 Q1,Bauxite,1.435,0.035,Capesize / Ultramax,live_disr_jun2026+cache
1991-03-01,1991 Q1,Iron Ore,25.817,0.646,Capesize (C5/C3),live_disr_jun2026+cache
1991-03-01,1991 Q1,LNG,0.92,0.305,LNG Carrier (174k),live_disr_jun2026+cache
1991-03-01,1991 Q1,Metallurgical Coal,16.325,1.015,Panamax / Capesize,live_disr_jun2026+cache
1991-03-01,1991 Q1,Thermal Coal,13.589,0.675,Panamax / Supramax,live_disr_jun2026+cache
1991-06-01,1991 Q2,Bauxite,1.435,0.035,Capesize / Ultramax,live_disr_jun2026+cache
1991-06-01,1991 Q2,Iron Ore,28.169,0.711,Capesize (C5/C3),live_disr_jun2026+cache
1991-06-01,1991 Q2,LNG,0.92,0.248,LNG Carrier (174k),live_disr_jun2026+cache
1991-06-01,1991 Q2,Metallurgical Coal,17.663,1.104,Panamax / Capesize,live_disr_jun2026+cache
1991-06-01,1991 Q2,Thermal Coal,13.001,0.634,Panamax / Supramax,live_disr_jun2026+cache
1991-09-01,1991 Q3,Bauxite,1.137,0.035,Capesize / Ultramax,live_disr_jun2026+cache
1991-09-01,1991 Q3,Iron Ore,27.691,0.733,Capesize (C5/C3),live_disr_jun2026+cache
1991-09-01,1991 Q3,LNG,1.04,0.179,LNG Carrier (174k),live_disr_jun2026+cache
1991-09-01,1991 Q3,Metallurgical Coal,15.944,0.969,Panamax / Capesize,live_disr_jun2026+cache
1991-09-01,1991 Q3,Thermal Coal,14.989,0.723,Panamax / Supramax,live_disr_jun2026+cache
1991-12-01,1991 Q4,Bauxite,1.137,0.033,Capesize / Ultramax,live_disr_jun2026+cache
1991-12-01,1991 Q4,Iron Ore,29.879,0.801,Capesize (C5/C3),live_disr_jun2026+cache
1991-12-01,1991 Q4,LNG,1.16,0.214,LNG Carrier (174k),live_disr_jun2026+cache
1991-12-01,1991 Q4,Metallurgical Coal,16.57,1.008,Panamax / Capesize,live_disr_jun2026+cache
1991-12-01,1991 Q4,Thermal Coal,12.745,0.612,Panamax / Supramax,live_disr_jun2026+cache
1992-03-01,1992 Q1,Bauxite,1.083,0.028,Capesize / Ultramax,live_disr_jun2026+cache
1992-03-01,1992 Q1,Iron Ore,23.903,0.659,Capesize (C5/C3),live_disr_jun2026+cache
1992-03-01,1992 Q1,LNG,1.26,0.245,LNG Carrier (174k),live_disr_jun2026+cache
1992-03-01,1992 Q1,Metallurgical Coal,15.535,0.975,Panamax / Capesize,live_disr_jun2026+cache
1992-03-01,1992 Q1,Thermal Coal,15.689,0.771,Panamax / Supramax,live_disr_jun2026+cache
1992-06-01,1992 Q2,Bauxite,1.083,0.022,Capesize / Ultramax,live_disr_jun2026+cache
1992-06-01,1992 Q2,Iron Ore,25.083,0.656,Capesize (C5/C3),live_disr_jun2026+cache
1992-06-01,1992 Q2,LNG,1.2,0.205,LNG Carrier (174k),live_disr_jun2026+cache
1992-06-01,1992 Q2,Metallurgical Coal,17.027,1.053,Panamax / Capesize,live_disr_jun2026+cache
1992-06-01,1992 Q2,Thermal Coal,15.189,0.737,Panamax / Supramax,live_disr_jun2026+cache
1992-09-01,1992 Q3,Bauxite,0.965,0.022,Capesize / Ultramax,live_disr_jun2026+cache
1992-09-01,1992 Q3,Iron Ore,27.859,0.747,Capesize (C5/C3),live_disr_jun2026+cache
1992-09-01,1992 Q3,LNG,1.288,0.248,LNG Carrier (174k),live_disr_jun2026+cache
1992-09-01,1992 Q3,Metallurgical Coal,17.364,1.108,Panamax / Capesize,live_disr_jun2026+cache
1992-09-01,1992 Q3,Thermal Coal,14.429,0.729,Panamax / Supramax,live_disr_jun2026+cache
1992-12-01,1992 Q4,Bauxite,0.965,0.022,Capesize / Ultramax,live_disr_jun2026+cache
1992-12-01,1992 Q4,Iron Ore,26.642,0.751,Capesize (C5/C3),live_disr_jun2026+cache
1992-12-01,1992 Q4,LNG,1.176,0.273,LNG Carrier (174k),live_disr_jun2026+cache
1992-12-01,1992 Q4,Metallurgical Coal,16.491,1.098,Panamax / Capesize,live_disr_jun2026+cache
1992-12-01,1992 Q4,Thermal Coal,15.314,0.777,Panamax / Supramax,live_disr_jun2026+cache
1993-03-01,1993 Q1,Bauxite,1.141,0.021,Capesize / Ultramax,live_disr_jun2026+cache
1993-03-01,1993 Q1,Iron Ore,25.907,0.716,Capesize (C5/C3),live_disr_jun2026+cache
1993-03-01,1993 Q1,LNG,1.288,0.288,LNG Carrier (174k),live_disr_jun2026+cache
1993-03-01,1993 Q1,Metallurgical Coal,16.827,1.133,Panamax / Capesize,live_disr_jun2026+cache
1993-03-01,1993 Q1,Thermal Coal,15.576,0.793,Panamax / Supramax,live_disr_jun2026+cache
1993-06-01,1993 Q2,Bauxite,1.141,0.022,Capesize / Ultramax,live_disr_jun2026+cache
1993-06-01,1993 Q2,Iron Ore,27.192,0.681,Capesize (C5/C3),live_disr_jun2026+cache
1993-06-01,1993 Q2,LNG,1.232,0.242,LNG Carrier (174k),live_disr_jun2026+cache
1993-06-01,1993 Q2,Metallurgical Coal,18.851,1.207,Panamax / Capesize,live_disr_jun2026+cache
1993-06-01,1993 Q2,Thermal Coal,14.505,0.693,Panamax / Supramax,live_disr_jun2026+cache
1993-09-01,1993 Q3,Bauxite,0.62,0.02,Capesize / Ultramax,live_disr_jun2026+cache
1993-09-01,1993 Q3,Iron Ore,30.789,0.787,Capesize (C5/C3),live_disr_jun2026+cache
1993-09-01,1993 Q3,LNG,1.334,0.267,LNG Carrier (174k),live_disr_jun2026+cache
1993-09-01,1993 Q3,Metallurgical Coal,17.5,1.138,Panamax / Capesize,live_disr_jun2026+cache
1993-09-01,1993 Q3,Thermal Coal,14.744,0.718,Panamax / Supramax,live_disr_jun2026+cache
1993-12-01,1993 Q4,Bauxite,0.62,0.021,Capesize / Ultramax,live_disr_jun2026+cache
1993-12-01,1993 Q4,Iron Ore,27.64,0.708,Capesize (C5/C3),live_disr_jun2026+cache
1993-12-01,1993 Q4,LNG,1.392,0.254,LNG Carrier (174k),live_disr_jun2026+cache
1993-12-01,1993 Q4,Metallurgical Coal,19.285,1.247,Panamax / Capesize,live_disr_jun2026+cache
1993-12-01,1993 Q4,Thermal Coal,15.777,0.783,Panamax / Supramax,live_disr_jun2026+cache
1994-03-01,1994 Q1,Bauxite,1.462,0.033,Capesize / Ultramax,live_disr_jun2026+cache
1994-03-01,1994 Q1,Iron Ore,26.02,0.634,Capesize (C5/C3),live_disr_jun2026+cache
1994-03-01,1994 Q1,LNG,1.798,0.282,LNG Carrier (174k),live_disr_jun2026+cache
1994-03-01,1994 Q1,Metallurgical Coal,16.157,0.982,Panamax / Capesize,live_disr_jun2026+cache
1994-03-01,1994 Q1,Thermal Coal,14.738,0.697,Panamax / Supramax,live_disr_jun2026+cache
1994-06-01,1994 Q2,Bauxite,0.999,0.023,Capesize / Ultramax,live_disr_jun2026+cache
1994-06-01,1994 Q2,Iron Ore,29.917,0.649,Capesize (C5/C3),live_disr_jun2026+cache
1994-06-01,1994 Q2,LNG,1.508,0.244,LNG Carrier (174k),live_disr_jun2026+cache
1994-06-01,1994 Q2,Metallurgical Coal,16.947,0.964,Panamax / Capesize,live_disr_jun2026+cache
1994-06-01,1994 Q2,Thermal Coal,14.197,0.647,Panamax / Supramax,live_disr_jun2026+cache
1994-09-01,1994 Q3,Bauxite,1.195,0.026,Capesize / Ultramax,live_disr_jun2026+cache
1994-09-01,1994 Q3,Iron Ore,31.413,0.653,Capesize (C5/C3),live_disr_jun2026+cache
1994-09-01,1994 Q3,LNG,1.624,0.284,LNG Carrier (174k),live_disr_jun2026+cache
1994-09-01,1994 Q3,Metallurgical Coal,18.614,1.028,Panamax / Capesize,live_disr_jun2026+cache
1994-09-01,1994 Q3,Thermal Coal,15.654,0.689,Panamax / Supramax,live_disr_jun2026+cache
1994-12-01,1994 Q4,Bauxite,1.466,0.033,Capesize / Ultramax,live_disr_jun2026+cache
1994-12-01,1994 Q4,Iron Ore,31.743,0.655,Capesize (C5/C3),live_disr_jun2026+cache
1994-12-01,1994 Q4,LNG,1.566,0.271,LNG Carrier (174k),live_disr_jun2026+cache
1994-12-01,1994 Q4,Metallurgical Coal,18.041,0.971,Panamax / Capesize,live_disr_jun2026+cache
1994-12-01,1994 Q4,Thermal Coal,16.784,0.718,Panamax / Supramax,live_disr_jun2026+cache
1995-03-01,1995 Q1,Bauxite,1.438,0.041,Capesize / Ultramax,live_disr_jun2026+cache
1995-03-01,1995 Q1,Iron Ore,31.753,0.681,Capesize (C5/C3),live_disr_jun2026+cache
1995-03-01,1995 Q1,LNG,1.914,0.344,LNG Carrier (174k),live_disr_jun2026+cache
1995-03-01,1995 Q1,Metallurgical Coal,17.94,0.977,Panamax / Capesize,live_disr_jun2026+cache
1995-03-01,1995 Q1,Thermal Coal,15.944,0.691,Panamax / Supramax,live_disr_jun2026+cache
1995-06-01,1995 Q2,Bauxite,0.837,0.025,Capesize / Ultramax,live_disr_jun2026+cache
1995-06-01,1995 Q2,Iron Ore,33.904,0.785,Capesize (C5/C3),live_disr_jun2026+cache
1995-06-01,1995 Q2,LNG,1.914,0.301,LNG Carrier (174k),live_disr_jun2026+cache
1995-06-01,1995 Q2,Metallurgical Coal,18.74,1.122,Panamax / Capesize,live_disr_jun2026+cache
1995-06-01,1995 Q2,Thermal Coal,14.847,0.693,Panamax / Supramax,live_disr_jun2026+cache
1995-09-01,1995 Q3,Bauxite,1.588,0.044,Capesize / Ultramax,live_disr_jun2026+cache
1995-09-01,1995 Q3,Iron Ore,33.309,0.756,Capesize (C5/C3),live_disr_jun2026+cache
1995-09-01,1995 Q3,LNG,1.856,0.376,LNG Carrier (174k),live_disr_jun2026+cache
1995-09-01,1995 Q3,Metallurgical Coal,19.097,1.189,Panamax / Capesize,live_disr_jun2026+cache
1995-09-01,1995 Q3,Thermal Coal,15.561,0.769,Panamax / Supramax,live_disr_jun2026+cache
1995-12-01,1995 Q4,Bauxite,0.729,0.02,Capesize / Ultramax,live_disr_jun2026+cache
1995-12-01,1995 Q4,Iron Ore,31.401,0.71,Capesize (C5/C3),live_disr_jun2026+cache
1995-12-01,1995 Q4,LNG,1.856,0.339,LNG Carrier (174k),live_disr_jun2026+cache
1995-12-01,1995 Q4,Metallurgical Coal,19.181,1.186,Panamax / Capesize,live_disr_jun2026+cache
1995-12-01,1995 Q4,Thermal Coal,15.087,0.752,Panamax / Supramax,live_disr_jun2026+cache
1996-03-01,1996 Q1,Bauxite,1.018,0.023,Capesize / Ultramax,live_disr_jun2026+cache
1996-03-01,1996 Q1,Iron Ore,29.698,0.663,Capesize (C5/C3),live_disr_jun2026+cache
1996-03-01,1996 Q1,LNG,1.914,0.333,LNG Carrier (174k),live_disr_jun2026+cache
1996-03-01,1996 Q1,Metallurgical Coal,18.806,1.159,Panamax / Capesize,live_disr_jun2026+cache
1996-03-01,1996 Q1,Thermal Coal,15.385,0.771,Panamax / Supramax,live_disr_jun2026+cache
1996-06-01,1996 Q2,Bauxite,1.383,0.029,Capesize / Ultramax,live_disr_jun2026+cache
1996-06-01,1996 Q2,Iron Ore,31.777,0.735,Capesize (C5/C3),live_disr_jun2026+cache
1996-06-01,1996 Q2,LNG,1.856,0.325,LNG Carrier (174k),live_disr_jun2026+cache
1996-06-01,1996 Q2,Metallurgical Coal,20.327,1.211,Panamax / Capesize,live_disr_jun2026+cache
1996-06-01,1996 Q2,Thermal Coal,15.414,0.738,Panamax / Supramax,live_disr_jun2026+cache
1996-09-01,1996 Q3,Bauxite,1.272,0.028,Capesize / Ultramax,live_disr_jun2026+cache
1996-09-01,1996 Q3,Iron Ore,33.636,0.767,Capesize (C5/C3),live_disr_jun2026+cache
1996-09-01,1996 Q3,LNG,1.798,0.35,LNG Carrier (174k),live_disr_jun2026+cache
1996-09-01,1996 Q3,Metallurgical Coal,19.014,1.158,Panamax / Capesize,live_disr_jun2026+cache
1996-09-01,1996 Q3,Thermal Coal,15.037,0.725,Panamax / Supramax,live_disr_jun2026+cache
1996-12-01,1996 Q4,Bauxite,0.82,0.018,Capesize / Ultramax,live_disr_jun2026+cache
1996-12-01,1996 Q4,Iron Ore,33.163,0.744,Capesize (C5/C3),live_disr_jun2026+cache
1996-12-01,1996 Q4,LNG,1.896,0.383,LNG Carrier (174k),live_disr_jun2026+cache
1996-12-01,1996 Q4,Metallurgical Coal,19.688,1.194,Panamax / Capesize,live_disr_jun2026+cache
1996-12-01,1996 Q4,Thermal Coal,17.114,0.802,Panamax / Supramax,live_disr_jun2026+cache
1997-03-01,1997 Q1,Bauxite,1.1,0.024,Capesize / Ultramax,live_disr_jun2026+cache
1997-03-01,1997 Q1,Iron Ore,33.631,0.78,Capesize (C5/C3),live_disr_jun2026+cache
1997-03-01,1997 Q1,LNG,1.896,0.427,LNG Carrier (174k),live_disr_jun2026+cache
1997-03-01,1997 Q1,Metallurgical Coal,19.443,1.198,Panamax / Capesize,live_disr_jun2026+cache
1997-03-01,1997 Q1,Thermal Coal,17.891,0.824,Panamax / Supramax,live_disr_jun2026+cache
1997-06-01,1997 Q2,Bauxite,1.544,0.034,Capesize / Ultramax,live_disr_jun2026+cache
1997-06-01,1997 Q2,Iron Ore,37.127,0.865,Capesize (C5/C3),live_disr_jun2026+cache
1997-06-01,1997 Q2,LNG,1.896,0.377,LNG Carrier (174k),live_disr_jun2026+cache
1997-06-01,1997 Q2,Metallurgical Coal,20.543,1.265,Panamax / Capesize,live_disr_jun2026+cache
1997-06-01,1997 Q2,Thermal Coal,17.506,0.792,Panamax / Supramax,live_disr_jun2026+cache
