ticker,company_name,cik,form,filing_date,accession_no,document_url
BDRY,Amplify Commodity Trust,1610940,10-Q,2026-05-15,0001213900-26-057535,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-057535-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2026-02-17,0001213900-26-016648,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-016648-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2026-02-17,0001213900-26-016644,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-016644-index.html
BDRY,Amplify Commodity Trust,1610940,10-Q,2026-02-11,0001213900-26-015020,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-015020-index.html
BDRY,Amplify Commodity Trust,1610940,10-Q,2025-11-14,0001213900-25-110548,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-110548-index.html
BDRY,Amplify Commodity Trust,1610940,10-K,2025-09-26,0001213900-25-092470,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-092470-index.html
BDRY,Amplify Commodity Trust,1610940,10-Q,2025-05-15,0001213900-25-043979,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-043979-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2025-02-14,0001213900-25-014168,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014168-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2025-02-14,0001213900-25-014165,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014165-index.html
BDRY,Amplify Commodity Trust,1610940,10-Q,2025-02-14,0001213900-25-014137,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014137-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2024-12-09,0001213900-24-106838,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-106838-index.html
BDRY,Amplify Commodity Trust,1610940,424B3,2024-12-09,0001213900-24-106835,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-106835-index.html
BDRY,Amplify Commodity Trust,1610940,10-Q,2024-11-14,0001213900-24-098370,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-098370-index.html
BDRY,Amplify Commodity Trust,1610940,8-K/A,2024-11-12,0001213900-24-096801,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-096801-index.html
BDRY,Amplify Commodity Trust,1610940,8-K,2024-11-08,0001213900-24-095627,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-095627-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2026-05-15,0001213900-26-057535,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-057535-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2026-02-17,0001213900-26-016648,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-016648-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2026-02-17,0001213900-26-016644,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-016644-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2026-02-11,0001213900-26-015020,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-26-015020-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2025-11-14,0001213900-25-110548,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-110548-index.html
BWET,Amplify Commodity Trust,1610940,10-K,2025-09-26,0001213900-25-092470,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-092470-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2025-05-15,0001213900-25-043979,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-043979-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2025-02-14,0001213900-25-014168,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014168-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2025-02-14,0001213900-25-014165,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014165-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2025-02-14,0001213900-25-014137,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014137-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2024-12-09,0001213900-24-106838,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-106838-index.html
BWET,Amplify Commodity Trust,1610940,424B3,2024-12-09,0001213900-24-106835,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-106835-index.html
BWET,Amplify Commodity Trust,1610940,10-Q,2024-11-14,0001213900-24-098370,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-098370-index.html
BWET,Amplify Commodity Trust,1610940,8-K/A,2024-11-12,0001213900-24-096801,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-096801-index.html
BWET,Amplify Commodity Trust,1610940,8-K,2024-11-08,0001213900-24-095627,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-24-095627-index.html
